"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","bystander_condition","condition","participant","age","gender","inquiry","stimulus","response","item_type","question_order","block_type"
"true","30054","fullscreen","0","null","31056","pbbvhd6pre0","slow","immoral","badger","21","female","","","","","",""
"","472","html-keyboard-response","1","2.0.0","31528","pbbvhd6pre0","slow","immoral","badger","21","female","","Welcome to the experiment. Press any key to begin."," ","","",""
"","2517","survey-text","2","2.0.0","34048","pbbvhd6pre0","slow","immoral","badger","21","female","","","{""participant_id"":""badger""}","","",""
"","3835","html-keyboard-response","3","2.0.0","37884","pbbvhd6pre0","slow","immoral","badger","21","female","","
   <p>In this experiment, you will be presented with potential scenarios.</p><p>Please read through these carefully.</p>
   <p>You will answer a series of questions afterwards.</p>
   <p>Press any key to begin.</p>
 "," ","","",""
"","11308","html-button-response","4","2.0.0","49193","pbbvhd6pre0","slow","immoral","badger","21","female","","<p>Two people, J and N, were walking to separate cars in the parking lot of Andronico's, a local grocery store, where they each spotted a different lost wallet next to the cars.</p><p> Upon picking up the wallet and looking inside, each found several hundred dollars in cash. Each person considered whether they should return the wallet and money to the Customer Service desk at Andronico's, or pocket the money and drive away.</p>","0","","",""
"","5234","html-button-response","5","2.0.0","54428","pbbvhd6pre0","slow","immoral","badger","21","female","","<p> N saw their decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking in their car, <i> they decided to pocket the money and drive off.</i></p><p> In contrast, J saw their decision as an easy one and was <i> able to decide quickly. J too pocketed the money and drove off. </i></p>","0","immoral_stimulus_2","",""
"","14994","survey-likert","6","2.0.0","69423","pbbvhd6pre0","slow","immoral","badger","21","female","","","{""j_manipulation_check"":1,""n_manipulation_check"":5}","","[0,1]",""
"","34615","survey-likert","7","2.0.0","104040","pbbvhd6pre0","slow","immoral","badger","21","female","","","{""n_standards_eval"":3,""j_standards_eval"":5}","","[1,0]","standards"
"","12481","survey-likert","8","2.0.0","116523","pbbvhd6pre0","slow","immoral","badger","21","female","","","{""j_principles_eval"":5,""n_principles_eval"":2}","","[0,1]","principles"
"","10909","survey-likert","9","2.0.0","127433","pbbvhd6pre0","slow","immoral","badger","21","female","","","{""j_deepness_eval"":4,""n_deepness_eval"":3}","","[0,1]","depth"
"","34226","survey-likert","10","2.0.0","161661","pbbvhd6pre0","slow","immoral","badger","21","female","","","{""j_cert_conflicted_RS"":5,""n_cert_conflicted_RS"":5,""j_cert_reservations_RS"":1,""n_cert_reservations_RS"":5}","","[0,1,2,3]","certainty"
"","14698","survey-likert","11","2.0.0","176361","pbbvhd6pre0","slow","immoral","badger","21","female","","","{""j_cert_quite_certain"":5,""n_cert_quite_certain"":2,""j_cert_far_from_alternative"":0,""n_cert_far_from_alternative"":5}","","[0,1,2,3]","certainty"
"","17254","survey-likert","12","2.0.0","193616","pbbvhd6pre0","slow","immoral","badger","21","female","","","{""j_imp_calm_contained_RS"":5,""n_imp_calm_contained_RS"":2,""j_imp_upset_acted_without_thinking"":0,""n_imp_upset_acted_without_thinking"":0}","","[0,1,2,3]","emotional_impulsivity"
"","5052","html-button-response","13","2.0.0","198670","pbbvhd6pre0","slow","immoral","badger","21","female","","<p> The next day, B was leaving the local grocery store when they also spotted a lost wallet next to their car.</p><p> Upon picking up the wallet and looking inside, B found several hundred dollars in cash. </p>","0","","",""
"","5422","html-button-response","14","2.0.0","204092","pbbvhd6pre0","slow","immoral","badger","21","female","","<p> B saw their decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking, B decided to leave the wallet where they found it and drove off. </p>","0","byst_scenario_slow","",""
"","8722","survey-likert","15","2.0.0","212815","pbbvhd6pre0","slow","immoral","badger","21","female","","","{""b_principles_eval"":4}","","[0]","byst_principles"
"","44535","survey-likert","16","2.0.0","257351","pbbvhd6pre0","slow","immoral","badger","21","female","","","{""b_standards_eval"":3}","","[0]","byst_standards"
"","21552","survey-likert","17","2.0.0","278905","pbbvhd6pre0","slow","immoral","badger","21","female","","","{""b_deepness_eval"":2}","","[0]","byst_depth"
"","12961","survey-likert","18","2.0.0","291867","pbbvhd6pre0","slow","immoral","badger","21","female","","","{""b_imp_calm_contained_RS"":3,""b_imp_upset_acted_without_thinking"":2}","","[0,1]","byst_emotional_impulsivity"
"","13479","survey-likert","19","2.0.0","305347","pbbvhd6pre0","slow","immoral","badger","21","female","","","{""B_cert_quite_certain"":2,""B_cert_reservations_RS"":4,""B_cert_far_from_alternative"":4,""B_cert_conflicted_RS"":5}","","[2,1,3,0]","byst_certainty"
"","2298","survey-text","20","2.0.0","307647","pbbvhd6pre0","slow","immoral","badger","21","female","","","{""participant_age"":""21""}","","",""
"","2297","survey-text","21","2.0.0","309946","pbbvhd6pre0","slow","immoral","badger","21","female","","","{""gender"":""female""}","","",""
"","20801","survey-likert","22","2.0.0","330749","pbbvhd6pre0","slow","immoral","badger","21","female","","","{""ma_character_reflective"":5,""ma_outcomes_matter"":4,""ma_gut_feelings"":4,""ma_some_actions_wrong"":5,""ma_think_through"":5}","","[4,2,0,3,1]","moral_attitudes"
"","36031","survey-text","23","2.0.0","366781","pbbvhd6pre0","slow","immoral","badger","21","female","","","{""Q0"":""The experiment was about judging moral character based on outcome and how long it took for them to come to that decision. No technical difficulties""}","","",""
