"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","bystander_condition","condition","participant","age","gender","inquiry","stimulus","response","item_type","question_order","block_type"
"true","34094","fullscreen","0","null","35102","pu9z6qycdaa","quick","moral","turtle","22","female","","","","","",""
"","3913","html-keyboard-response","1","2.0.0","39017","pu9z6qycdaa","quick","moral","turtle","22","female","","Welcome to the experiment. Press any key to begin."," ","","",""
"","4497","survey-text","2","2.0.0","43517","pu9z6qycdaa","quick","moral","turtle","22","female","","","{""participant_id"":""turtle""}","","",""
"","3193","html-keyboard-response","3","2.0.0","46711","pu9z6qycdaa","quick","moral","turtle","22","female","","
   <p>In this experiment, you will be presented with potential scenarios.</p><p>Please read through these carefully.</p>
   <p>You will answer a series of questions afterwards.</p>
   <p>Press any key to begin.</p>
 "," ","","",""
"","10769","html-button-response","4","2.0.0","57482","pu9z6qycdaa","quick","moral","turtle","22","female","","<p>Two people, J and N, were walking to separate cars in the parking lot of Andronico's, a local grocery store, where they each spotted a different lost wallet next to the cars.</p><p> Upon picking up the wallet and looking inside, each found several hundred dollars in cash. Each person considered whether they should return the wallet and money to the Customer Service desk at Andronico's, or pocket the money and drive away.</p>","0","","",""
"","11088","html-button-response","5","2.0.0","68571","pu9z6qycdaa","quick","moral","turtle","22","female","","<p> N saw their decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking in their car, <i> N decided not to steal the money </i> and instead left the wallet with customer service. </i><br> </p><p>In contrast, J saw their decision as an easy one and was <i> able to decide quickly. J too did not steal the money </i> and instead left the wallet with Customer Service.</p>","0","moral_stimulus_2","",""
"","11823","survey-likert","6","2.0.0","80396","pu9z6qycdaa","quick","moral","turtle","22","female","","","{""j_manipulation_check"":5,""n_manipulation_check"":2}","","[0,1]",""
"","13368","survey-likert","7","2.0.0","93766","pu9z6qycdaa","quick","moral","turtle","22","female","","","{""n_standards_eval"":5,""j_standards_eval"":6}","","[1,0]","standards"
"","12993","survey-likert","8","2.0.0","106761","pu9z6qycdaa","quick","moral","turtle","22","female","","","{""n_principles_eval"":6,""j_principles_eval"":6}","","[1,0]","principles"
"","10342","survey-likert","9","2.0.0","117104","pu9z6qycdaa","quick","moral","turtle","22","female","","","{""n_deepness_eval"":5,""j_deepness_eval"":6}","","[1,0]","depth"
"","12365","survey-likert","10","2.0.0","129471","pu9z6qycdaa","quick","moral","turtle","22","female","","","{""j_cert_conflicted_RS"":0,""n_cert_conflicted_RS"":4,""j_cert_reservations_RS"":0,""n_cert_reservations_RS"":4}","","[0,1,2,3]","certainty"
"","22510","survey-likert","11","2.0.0","151983","pu9z6qycdaa","quick","moral","turtle","22","female","","","{""j_cert_quite_certain"":6,""n_cert_quite_certain"":2,""j_cert_far_from_alternative"":6,""n_cert_far_from_alternative"":1}","","[0,1,2,3]","certainty"
"","17244","survey-likert","12","2.0.0","169228","pu9z6qycdaa","quick","moral","turtle","22","female","","","{""j_imp_calm_contained_RS"":3,""n_imp_calm_contained_RS"":3,""j_imp_upset_acted_without_thinking"":4,""n_imp_upset_acted_without_thinking"":1}","","[0,1,2,3]","emotional_impulsivity"
"","5057","html-button-response","13","2.0.0","174286","pu9z6qycdaa","quick","moral","turtle","22","female","","<p> The next day, B was leaving the local grocery store when they also spotted a lost wallet next to their car.</p><p> Upon picking up the wallet and looking inside, B found several hundred dollars in cash. </p>","0","","",""
"","3041","html-button-response","14","2.0.0","177328","pu9z6qycdaa","quick","moral","turtle","22","female","","<p> B saw their decision as an easy one and was <i> able to decide quickly </i>. B left the wallet where they found it and drove off. </i></p>","0","byst_scenario_quick","",""
"","4999","survey-likert","15","2.0.0","182328","pu9z6qycdaa","quick","moral","turtle","22","female","","","{""b_principles_eval"":2}","","[0]","byst_principles"
"","4565","survey-likert","16","2.0.0","186894","pu9z6qycdaa","quick","moral","turtle","22","female","","","{""b_standards_eval"":2}","","[0]","byst_standards"
"","12666","survey-likert","17","2.0.0","199561","pu9z6qycdaa","quick","moral","turtle","22","female","","","{""b_deepness_eval"":1}","","[0]","byst_depth"
"","21815","survey-likert","18","2.0.0","221378","pu9z6qycdaa","quick","moral","turtle","22","female","","","{""B_cert_quite_certain"":6,""B_cert_reservations_RS"":2,""B_cert_far_from_alternative"":5,""B_cert_conflicted_RS"":0}","","[2,1,3,0]","byst_certainty"
"","3190","survey-likert","19","2.0.0","224569","pu9z6qycdaa","quick","moral","turtle","22","female","","","{""b_imp_upset_acted_without_thinking"":3,""b_imp_calm_contained_RS"":3}","","[1,0]","byst_emotional_impulsivity"
"","1957","survey-text","20","2.0.0","226529","pu9z6qycdaa","quick","moral","turtle","22","female","","","{""participant_age"":""22""}","","",""
"","4020","survey-text","21","2.0.0","230551","pu9z6qycdaa","quick","moral","turtle","22","female","","","{""gender"":""female""}","","",""
"","19435","survey-likert","22","2.0.0","249988","pu9z6qycdaa","quick","moral","turtle","22","female","","","{""ma_some_actions_wrong"":5,""ma_outcomes_matter"":4,""ma_gut_feelings"":5,""ma_think_through"":5,""ma_character_reflective"":6}","","[3,2,0,1,4]","moral_attitudes"
"","8489","survey-text","23","2.0.0","258479","pu9z6qycdaa","quick","moral","turtle","22","female","","","{""Q0"":""morality""}","","",""
