"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","bystander_condition","condition","participant","age","gender","inquiry","stimulus","response","item_type","question_order","block_type"
"true","38258","fullscreen","0","null","39264","p758r54y2g2","quick","immoral","raccoon","21","Female","","","","","",""
"","1151","html-keyboard-response","1","2.0.0","40417","p758r54y2g2","quick","immoral","raccoon","21","Female","","Welcome to the experiment. Press any key to begin."," ","","",""
"","2641","survey-text","2","2.0.0","43063","p758r54y2g2","quick","immoral","raccoon","21","Female","","","{""participant_id"":""raccoon""}","","",""
"","3614","html-keyboard-response","3","2.0.0","46678","p758r54y2g2","quick","immoral","raccoon","21","Female","","
   <p>In this experiment, you will be presented with potential scenarios.</p><p>Please read through these carefully.</p>
   <p>You will answer a series of questions afterwards.</p>
   <p>Press any key to begin.</p>
 ","j","","",""
"","13247","html-button-response","4","2.0.0","59927","p758r54y2g2","quick","immoral","raccoon","21","Female","","<p>Two people, J and N, were walking to separate cars in the parking lot of Andronico's, a local grocery store, where they each spotted a different lost wallet next to the cars.</p><p> Upon picking up the wallet and looking inside, each found several hundred dollars in cash. Each person considered whether they should return the wallet and money to the Customer Service desk at Andronico's, or pocket the money and drive away.</p>","0","","",""
"","8981","html-button-response","5","2.0.0","68910","p758r54y2g2","quick","immoral","raccoon","21","Female","","<p> N saw their decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking in their car, <i> they decided to pocket the money and drive off.</i></p><p> In contrast, J saw their decision as an easy one and was <i> able to decide quickly. J too pocketed the money and drove off. </i></p>","0","immoral_stimulus_2","",""
"","5614","survey-likert","6","2.0.0","74527","p758r54y2g2","quick","immoral","raccoon","21","Female","","","{""n_manipulation_check"":0,""j_manipulation_check"":6}","","[1,0]",""
"","20312","survey-likert","7","2.0.0","94843","p758r54y2g2","quick","immoral","raccoon","21","Female","","","{""j_principles_eval"":3,""n_principles_eval"":3}","","[0,1]","principles"
"","10347","survey-likert","8","2.0.0","105193","p758r54y2g2","quick","immoral","raccoon","21","Female","","","{""n_standards_eval"":3,""j_standards_eval"":3}","","[1,0]","standards"
"","5631","survey-likert","9","2.0.0","110826","p758r54y2g2","quick","immoral","raccoon","21","Female","","","{""n_deepness_eval"":3,""j_deepness_eval"":3}","","[1,0]","depth"
"","12714","survey-likert","10","2.0.0","123543","p758r54y2g2","quick","immoral","raccoon","21","Female","","","{""j_cert_conflicted_RS"":0,""n_cert_conflicted_RS"":6,""j_cert_reservations_RS"":0,""n_cert_reservations_RS"":6}","","[0,1,2,3]","certainty"
"","17714","survey-likert","11","2.0.0","141260","p758r54y2g2","quick","immoral","raccoon","21","Female","","","{""j_cert_quite_certain"":6,""n_cert_quite_certain"":0,""j_cert_far_from_alternative"":0,""n_cert_far_from_alternative"":2}","","[0,1,2,3]","certainty"
"","17863","survey-likert","12","2.0.0","159125","p758r54y2g2","quick","immoral","raccoon","21","Female","","","{""j_imp_calm_contained_RS"":6,""n_imp_calm_contained_RS"":3,""j_imp_upset_acted_without_thinking"":0,""n_imp_upset_acted_without_thinking"":1}","","[0,1,2,3]","emotional_impulsivity"
"","4497","html-button-response","13","2.0.0","163624","p758r54y2g2","quick","immoral","raccoon","21","Female","","<p> The next day, B was leaving the local grocery store when they also spotted a lost wallet next to their car.</p><p> Upon picking up the wallet and looking inside, B found several hundred dollars in cash. </p>","0","","",""
"","3582","html-button-response","14","2.0.0","167208","p758r54y2g2","quick","immoral","raccoon","21","Female","","<p> B saw their decision as an easy one and was <i> able to decide quickly </i>. B left the wallet where they found it and drove off. </i></p>","0","byst_scenario_quick","",""
"","4766","survey-likert","15","2.0.0","171975","p758r54y2g2","quick","immoral","raccoon","21","Female","","","{""b_principles_eval"":6}","","[0]","byst_principles"
"","2814","survey-likert","16","2.0.0","174791","p758r54y2g2","quick","immoral","raccoon","21","Female","","","{""b_standards_eval"":6}","","[0]","byst_standards"
"","2298","survey-likert","17","2.0.0","177092","p758r54y2g2","quick","immoral","raccoon","21","Female","","","{""b_deepness_eval"":6}","","[0]","byst_depth"
"","6480","survey-likert","18","2.0.0","183574","p758r54y2g2","quick","immoral","raccoon","21","Female","","","{""b_imp_calm_contained_RS"":6,""b_imp_upset_acted_without_thinking"":0}","","[0,1]","byst_emotional_impulsivity"
"","7514","survey-likert","19","2.0.0","191091","p758r54y2g2","quick","immoral","raccoon","21","Female","","","{""B_cert_reservations_RS"":0,""B_cert_far_from_alternative"":0,""B_cert_quite_certain"":6,""B_cert_conflicted_RS"":0}","","[1,3,2,0]","byst_certainty"
"","2023","survey-text","20","2.0.0","193118","p758r54y2g2","quick","immoral","raccoon","21","Female","","","{""participant_age"":""21""}","","",""
"","1911","survey-text","21","2.0.0","195032","p758r54y2g2","quick","immoral","raccoon","21","Female","","","{""gender"":""Female""}","","",""
"","28992","survey-likert","22","2.0.0","224025","p758r54y2g2","quick","immoral","raccoon","21","Female","","","{""ma_character_reflective"":6,""ma_think_through"":6,""ma_outcomes_matter"":6,""ma_some_actions_wrong"":6,""ma_gut_feelings"":6}","","[4,1,2,3,0]","moral_attitudes"
"","5993","survey-text","23","2.0.0","230021","p758r54y2g2","quick","immoral","raccoon","21","Female","","","{""Q0"":""Moral character""}","","",""
