"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","bystander_condition","condition","participant","age","gender","inquiry","stimulus","response","item_type","question_order","block_type"
"true","1004","fullscreen","0","null","2012","pkxg3gl71bp","quick","immoral","fox","21","female","","","","","",""
"","570","html-keyboard-response","1","2.0.0","2585","pkxg3gl71bp","quick","immoral","fox","21","female","","Welcome to the experiment. Press any key to begin."," ","","",""
"","1907","survey-text","2","2.0.0","4497","pkxg3gl71bp","quick","immoral","fox","21","female","","","{""participant_id"":""fox""}","","",""
"","840","html-keyboard-response","3","2.0.0","5339","pkxg3gl71bp","quick","immoral","fox","21","female","","
   <p>In this experiment, you will be presented with potential scenarios.</p><p>Please read through these carefully.</p>
   <p>You will answer a series of questions afterwards.</p>
   <p>Press any key to begin.</p>
 "," ","","",""
"","6302","html-button-response","4","2.0.0","11644","pkxg3gl71bp","quick","immoral","fox","21","female","","<p>Two people, J and N, were walking to separate cars in the parking lot of Andronico's, a local grocery store, where they each spotted a different lost wallet next to the cars.</p><p> Upon picking up the wallet and looking inside, each found several hundred dollars in cash. Each person considered whether they should return the wallet and money to the Customer Service desk at Andronico's, or pocket the money and drive away.</p>","0","","",""
"","6974","html-button-response","5","2.0.0","18620","pkxg3gl71bp","quick","immoral","fox","21","female",""," <p> J saw their decision as an easy one and was <i> able to decide quickly. J pocketed the money and drove off. </i></p><p> In contrast, N saw their decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking in their car, <i> N too decided to pocket the money and drive off.</i></p>","0","immoral_stimulus_1","",""
"","5177","survey-likert","6","2.0.0","23801","pkxg3gl71bp","quick","immoral","fox","21","female","","","{""n_manipulation_check"":6,""j_manipulation_check"":0}","","[1,0]",""
"","7065","survey-likert","7","2.0.0","30870","pkxg3gl71bp","quick","immoral","fox","21","female","","","{""j_principles_eval"":0,""n_principles_eval"":0}","","[0,1]","principles"
"","9399","survey-likert","8","2.0.0","40272","pkxg3gl71bp","quick","immoral","fox","21","female","","","{""j_standards_eval"":0,""n_standards_eval"":0}","","[0,1]","standards"
"","17654","survey-likert","9","2.0.0","57929","pkxg3gl71bp","quick","immoral","fox","21","female","","","{""j_deepness_eval"":1,""n_deepness_eval"":2}","","[0,1]","depth"
"","21024","survey-likert","10","2.0.0","78957","pkxg3gl71bp","quick","immoral","fox","21","female","","","{""j_cert_conflicted_RS"":0,""n_cert_conflicted_RS"":4,""j_cert_reservations_RS"":0,""n_cert_reservations_RS"":5}","","[0,1,2,3]","certainty"
"","15382","survey-likert","11","2.0.0","94343","pkxg3gl71bp","quick","immoral","fox","21","female","","","{""j_cert_quite_certain"":6,""n_cert_quite_certain"":5,""j_cert_far_from_alternative"":0,""n_cert_far_from_alternative"":1}","","[0,1,2,3]","certainty"
"","12140","survey-likert","12","2.0.0","106486","pkxg3gl71bp","quick","immoral","fox","21","female","","","{""j_imp_calm_contained_RS"":6,""n_imp_calm_contained_RS"":4,""j_imp_upset_acted_without_thinking"":0,""n_imp_upset_acted_without_thinking"":0}","","[0,1,2,3]","emotional_impulsivity"
"","2650","html-button-response","13","2.0.0","109138","pkxg3gl71bp","quick","immoral","fox","21","female","","<p> The next day, B was leaving the local grocery store when they also spotted a lost wallet next to their car.</p><p> Upon picking up the wallet and looking inside, B found several hundred dollars in cash. </p>","0","","",""
"","2314","html-button-response","14","2.0.0","111455","pkxg3gl71bp","quick","immoral","fox","21","female","","<p> B saw their decision as an easy one and was <i> able to decide quickly </i>. B left the wallet where they found it and drove off. </i></p>","0","byst_scenario_quick","",""
"","4436","survey-likert","15","2.0.0","115893","pkxg3gl71bp","quick","immoral","fox","21","female","","","{""b_standards_eval"":1}","","[0]","byst_standards"
"","2485","survey-likert","16","2.0.0","118380","pkxg3gl71bp","quick","immoral","fox","21","female","","","{""b_principles_eval"":1}","","[0]","byst_principles"
"","5840","survey-likert","17","2.0.0","124223","pkxg3gl71bp","quick","immoral","fox","21","female","","","{""b_deepness_eval"":3}","","[0]","byst_depth"
"","4584","survey-likert","18","2.0.0","128810","pkxg3gl71bp","quick","immoral","fox","21","female","","","{""b_imp_calm_contained_RS"":6,""b_imp_upset_acted_without_thinking"":0}","","[0,1]","byst_emotional_impulsivity"
"","10310","survey-likert","19","2.0.0","139124","pkxg3gl71bp","quick","immoral","fox","21","female","","","{""B_cert_quite_certain"":6,""B_cert_reservations_RS"":0,""B_cert_conflicted_RS"":0,""B_cert_far_from_alternative"":0}","","[2,1,0,3]","byst_certainty"
"","2642","survey-text","20","2.0.0","141770","pkxg3gl71bp","quick","immoral","fox","21","female","","","{""participant_age"":""21""}","","",""
"","2402","survey-text","21","2.0.0","144175","pkxg3gl71bp","quick","immoral","fox","21","female","","","{""gender"":""female""}","","",""
"","16794","survey-likert","22","2.0.0","160973","pkxg3gl71bp","quick","immoral","fox","21","female","","","{""ma_think_through"":6,""ma_outcomes_matter"":5,""ma_character_reflective"":6,""ma_gut_feelings"":4,""ma_some_actions_wrong"":5}","","[1,2,4,0,3]","moral_attitudes"
"","2884","survey-text","23","2.0.0","163860","pkxg3gl71bp","quick","immoral","fox","21","female","","","{""Q0"":""no""}","","",""
