"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","bystander_condition","condition","participant","age","gender","inquiry","stimulus","response","item_type","question_order","block_type"
"true","9703","fullscreen","0","null","10708","p0sfjew6kvk","quick","immoral","pony","21","female","","","","","",""
"","17340","html-keyboard-response","1","2.0.0","28051","p0sfjew6kvk","quick","immoral","pony","21","female","","Welcome to the experiment. Press any key to begin."," ","","",""
"","1844","survey-text","2","2.0.0","29909","p0sfjew6kvk","quick","immoral","pony","21","female","","","{""participant_id"":""pony""}","","",""
"","5071","html-keyboard-response","3","2.0.0","34983","p0sfjew6kvk","quick","immoral","pony","21","female","","
   <p>In this experiment, you will be presented with potential scenarios.</p><p>Please read through these carefully.</p>
   <p>You will answer a series of questions afterwards.</p>
   <p>Press any key to begin.</p>
 "," ","","",""
"","24572","html-button-response","4","2.0.0","59557","p0sfjew6kvk","quick","immoral","pony","21","female","","<p>Two people, J and N, were walking to separate cars in the parking lot of Andronico's, a local grocery store, where they each spotted a different lost wallet next to the cars.</p><p> Upon picking up the wallet and looking inside, each found several hundred dollars in cash. Each person considered whether they should return the wallet and money to the Customer Service desk at Andronico's, or pocket the money and drive away.</p>","0","","",""
"","14645","html-button-response","5","2.0.0","74204","p0sfjew6kvk","quick","immoral","pony","21","female","","<p> N saw their decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking in their car, <i> they decided to pocket the money and drive off.</i></p><p> In contrast, J saw their decision as an easy one and was <i> able to decide quickly. J too pocketed the money and drove off. </i></p>","0","immoral_stimulus_2","",""
"","7316","survey-likert","6","2.0.0","81522","p0sfjew6kvk","quick","immoral","pony","21","female","","","{""j_manipulation_check"":6,""n_manipulation_check"":2}","","[0,1]",""
"","27314","survey-likert","7","2.0.0","108840","p0sfjew6kvk","quick","immoral","pony","21","female","","","{""j_standards_eval"":0,""n_standards_eval"":1}","","[0,1]","standards"
"","8983","survey-likert","8","2.0.0","117825","p0sfjew6kvk","quick","immoral","pony","21","female","","","{""j_principles_eval"":0,""n_principles_eval"":1}","","[0,1]","principles"
"","9952","survey-likert","9","2.0.0","127789","p0sfjew6kvk","quick","immoral","pony","21","female","","","{""j_deepness_eval"":0,""n_deepness_eval"":1}","","[0,1]","depth"
"","12248","survey-likert","10","2.0.0","140050","p0sfjew6kvk","quick","immoral","pony","21","female","","","{""j_cert_conflicted_RS"":0,""n_cert_conflicted_RS"":5,""j_cert_reservations_RS"":0,""n_cert_reservations_RS"":4}","","[0,1,2,3]","certainty"
"","22433","survey-likert","11","2.0.0","162494","p0sfjew6kvk","quick","immoral","pony","21","female","","","{""j_cert_quite_certain"":6,""n_cert_quite_certain"":4,""j_cert_far_from_alternative"":5,""n_cert_far_from_alternative"":3}","","[0,1,2,3]","certainty"
"","12081","survey-likert","12","2.0.0","174588","p0sfjew6kvk","quick","immoral","pony","21","female","","","{""j_imp_calm_contained_RS"":6,""n_imp_calm_contained_RS"":4,""j_imp_upset_acted_without_thinking"":1,""n_imp_upset_acted_without_thinking"":1}","","[0,1,2,3]","emotional_impulsivity"
"","4901","html-button-response","13","2.0.0","179499","p0sfjew6kvk","quick","immoral","pony","21","female","","<p> The next day, B was leaving the local grocery store when they also spotted a lost wallet next to their car.</p><p> Upon picking up the wallet and looking inside, B found several hundred dollars in cash. </p>","0","","",""
"","5155","html-button-response","14","2.0.0","184656","p0sfjew6kvk","quick","immoral","pony","21","female","","<p> B saw their decision as an easy one and was <i> able to decide quickly </i>. B left the wallet where they found it and drove off. </i></p>","0","byst_scenario_quick","",""
"","4633","survey-likert","15","2.0.0","189291","p0sfjew6kvk","quick","immoral","pony","21","female","","","{""b_principles_eval"":5}","","[0]","byst_principles"
"","3145","survey-likert","16","2.0.0","192438","p0sfjew6kvk","quick","immoral","pony","21","female","","","{""b_standards_eval"":5}","","[0]","byst_standards"
"","2090","survey-likert","17","2.0.0","194530","p0sfjew6kvk","quick","immoral","pony","21","female","","","{""b_deepness_eval"":5}","","[0]","byst_depth"
"","29401","survey-likert","18","2.0.0","223942","p0sfjew6kvk","quick","immoral","pony","21","female","","","{""B_cert_conflicted_RS"":0,""B_cert_far_from_alternative"":5,""B_cert_quite_certain"":4,""B_cert_reservations_RS"":0}","","[0,3,2,1]","byst_certainty"
"","7517","survey-likert","19","2.0.0","231472","p0sfjew6kvk","quick","immoral","pony","21","female","","","{""b_imp_upset_acted_without_thinking"":0,""b_imp_calm_contained_RS"":5}","","[1,0]","byst_emotional_impulsivity"
"","3174","survey-text","20","2.0.0","234663","p0sfjew6kvk","quick","immoral","pony","21","female","","","{""participant_age"":""21""}","","",""
"","3820","survey-text","21","2.0.0","238489","p0sfjew6kvk","quick","immoral","pony","21","female","","","{""gender"":""female""}","","",""
"","19452","survey-likert","22","2.0.0","257943","p0sfjew6kvk","quick","immoral","pony","21","female","","","{""ma_think_through"":5,""ma_gut_feelings"":6,""ma_character_reflective"":5,""ma_some_actions_wrong"":4,""ma_outcomes_matter"":4}","","[1,0,4,3,2]","moral_attitudes"
"","5255","survey-text","23","2.0.0","263213","p0sfjew6kvk","quick","immoral","pony","21","female","","","{""Q0"":""moral dilemmas""}","","",""
