"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","bystander_condition","condition","participant","age","gender","inquiry","stimulus","response","item_type","question_order","block_type"
"true","2451","fullscreen","0","null","3460","pq07ukbmz22","quick","moral","tiger","22","female","","","","","",""
"","424162","html-keyboard-response","1","2.0.0","427625","pq07ukbmz22","quick","moral","tiger","22","female","","Welcome to the experiment. Press any key to begin."," ","","",""
"","2654","survey-text","2","2.0.0","430331","pq07ukbmz22","quick","moral","tiger","22","female","","","{""participant_id"":""tiger""}","","",""
"","9267","html-keyboard-response","3","2.0.0","439606","pq07ukbmz22","quick","moral","tiger","22","female","","
   <p>In this experiment, you will be presented with potential scenarios.</p><p>Please read through these carefully.</p>
   <p>You will answer a series of questions afterwards.</p>
   <p>Press any key to begin.</p>
 "," ","","",""
"","27774","html-button-response","4","2.0.0","467396","pq07ukbmz22","quick","moral","tiger","22","female","","<p>Two people, J and N, were walking to separate cars in the parking lot of Andronico's, a local grocery store, where they each spotted a different lost wallet next to the cars.</p><p> Upon picking up the wallet and looking inside, each found several hundred dollars in cash. Each person considered whether they should return the wallet and money to the Customer Service desk at Andronico's, or pocket the money and drive away.</p>","0","","",""
"","21620","html-button-response","5","2.0.0","489021","pq07ukbmz22","quick","moral","tiger","22","female","","<p> N saw their decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking in their car, <i> N decided not to steal the money </i> and instead left the wallet with customer service. </i><br> </p><p>In contrast, J saw their decision as an easy one and was <i> able to decide quickly. J too did not steal the money </i> and instead left the wallet with Customer Service.</p>","0","moral_stimulus_2","",""
"","36126","survey-likert","6","2.0.0","525159","pq07ukbmz22","quick","moral","tiger","22","female","","","{""n_manipulation_check"":1,""j_manipulation_check"":6}","","[1,0]",""
"","80134","survey-likert","7","2.0.0","605303","pq07ukbmz22","quick","moral","tiger","22","female","","","{""n_standards_eval"":4,""j_standards_eval"":6}","","[1,0]","standards"
"","72448","survey-likert","8","2.0.0","677761","pq07ukbmz22","quick","moral","tiger","22","female","","","{""n_principles_eval"":3,""j_principles_eval"":6}","","[1,0]","principles"
"","86733","survey-likert","9","2.0.0","764532","pq07ukbmz22","quick","moral","tiger","22","female","","","{""n_deepness_eval"":1,""j_deepness_eval"":6}","","[1,0]","depth"
"","25939","survey-likert","10","2.0.0","790509","pq07ukbmz22","quick","moral","tiger","22","female","","","{""j_cert_conflicted_RS"":0,""n_cert_conflicted_RS"":4,""j_cert_reservations_RS"":0,""n_cert_reservations_RS"":2}","","[0,1,2,3]","certainty"
"","44636","survey-likert","11","2.0.0","835146","pq07ukbmz22","quick","moral","tiger","22","female","","","{""j_cert_quite_certain"":6,""n_cert_quite_certain"":4,""j_cert_far_from_alternative"":0,""n_cert_far_from_alternative"":1}","","[0,1,2,3]","certainty"
"","28632","survey-likert","12","2.0.0","863782","pq07ukbmz22","quick","moral","tiger","22","female","","","{""j_imp_calm_contained_RS"":5,""n_imp_calm_contained_RS"":3,""j_imp_upset_acted_without_thinking"":0,""n_imp_upset_acted_without_thinking"":0}","","[0,1,2,3]","emotional_impulsivity"
"","17030","html-button-response","13","2.0.0","880821","pq07ukbmz22","quick","moral","tiger","22","female","","<p> The next day, B was leaving the local grocery store when they also spotted a lost wallet next to their car.</p><p> Upon picking up the wallet and looking inside, B found several hundred dollars in cash. </p>","0","","",""
"","5189","html-button-response","14","2.0.0","886014","pq07ukbmz22","quick","moral","tiger","22","female","","<p> B saw their decision as an easy one and was <i> able to decide quickly </i>. B left the wallet where they found it and drove off. </i></p>","0","byst_scenario_quick","",""
"","14865","survey-likert","15","2.0.0","900882","pq07ukbmz22","quick","moral","tiger","22","female","","","{""b_standards_eval"":3}","","[0]","byst_standards"
"","11584","survey-likert","16","2.0.0","912467","pq07ukbmz22","quick","moral","tiger","22","female","","","{""b_principles_eval"":3}","","[0]","byst_principles"
"","16618","survey-likert","17","2.0.0","929086","pq07ukbmz22","quick","moral","tiger","22","female","","","{""b_deepness_eval"":2}","","[0]","byst_depth"
"","20949","survey-likert","18","2.0.0","950037","pq07ukbmz22","quick","moral","tiger","22","female","","","{""b_imp_calm_contained_RS"":4,""b_imp_upset_acted_without_thinking"":4}","","[0,1]","byst_emotional_impulsivity"
"","37482","survey-likert","19","2.0.0","987522","pq07ukbmz22","quick","moral","tiger","22","female","","","{""B_cert_quite_certain"":6,""B_cert_reservations_RS"":0,""B_cert_conflicted_RS"":0,""B_cert_far_from_alternative"":1}","","[2,1,0,3]","byst_certainty"
"","3539","survey-text","20","2.0.0","991076","pq07ukbmz22","quick","moral","tiger","22","female","","","{""participant_age"":""22""}","","",""
"","3327","survey-text","21","2.0.0","994407","pq07ukbmz22","quick","moral","tiger","22","female","","","{""gender"":""female""}","","",""
"","52432","survey-likert","22","2.0.0","1046843","pq07ukbmz22","quick","moral","tiger","22","female","","","{""ma_some_actions_wrong"":4,""ma_outcomes_matter"":2,""ma_gut_feelings"":4,""ma_character_reflective"":4,""ma_think_through"":5}","","[3,2,0,4,1]","moral_attitudes"
"","34801","survey-text","23","2.0.0","1081648","pq07ukbmz22","quick","moral","tiger","22","female","","","{""Q0"":""how circumstances can effect decision making, specific to morals""}","","",""
