"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","bystander_condition","condition","participant","age","gender","inquiry","stimulus","response","item_type","question_order","block_type"
"true","6210","fullscreen","0","null","7218","plr5jv2dx4v","slow","immoral","elk","21","female","","","","","",""
"","848","html-keyboard-response","1","2.0.0","8069","plr5jv2dx4v","slow","immoral","elk","21","female","","Welcome to the experiment. Press any key to begin."," ","","",""
"","1332","survey-text","2","2.0.0","9407","plr5jv2dx4v","slow","immoral","elk","21","female","","","{""participant_id"":""elk""}","","",""
"","3347","html-keyboard-response","3","2.0.0","12757","plr5jv2dx4v","slow","immoral","elk","21","female","","
   <p>In this experiment, you will be presented with potential scenarios.</p><p>Please read through these carefully.</p>
   <p>You will answer a series of questions afterwards.</p>
   <p>Press any key to begin.</p>
 "," ","","",""
"","22944","html-button-response","4","2.0.0","35703","plr5jv2dx4v","slow","immoral","elk","21","female","","<p>Two people, J and N, were walking to separate cars in the parking lot of Andronico's, a local grocery store, where they each spotted a different lost wallet next to the cars.</p><p> Upon picking up the wallet and looking inside, each found several hundred dollars in cash. Each person considered whether they should return the wallet and money to the Customer Service desk at Andronico's, or pocket the money and drive away.</p>","0","","",""
"","8412","html-button-response","5","2.0.0","44118","plr5jv2dx4v","slow","immoral","elk","21","female","","<p> N saw their decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking in their car, <i> they decided to pocket the money and drive off.</i></p><p> In contrast, J saw their decision as an easy one and was <i> able to decide quickly. J too pocketed the money and drove off. </i></p>","0","immoral_stimulus_2","",""
"","8496","survey-likert","6","2.0.0","52617","plr5jv2dx4v","slow","immoral","elk","21","female","","","{""n_manipulation_check"":0,""j_manipulation_check"":6}","","[1,0]",""
"","12486","survey-likert","7","2.0.0","65106","plr5jv2dx4v","slow","immoral","elk","21","female","","","{""j_standards_eval"":0,""n_standards_eval"":5}","","[0,1]","standards"
"","11498","survey-likert","8","2.0.0","76607","plr5jv2dx4v","slow","immoral","elk","21","female","","","{""j_principles_eval"":1,""n_principles_eval"":5}","","[0,1]","principles"
"","9504","survey-likert","9","2.0.0","86114","plr5jv2dx4v","slow","immoral","elk","21","female","","","{""n_deepness_eval"":6,""j_deepness_eval"":2}","","[1,0]","depth"
"","11535","survey-likert","10","2.0.0","97652","plr5jv2dx4v","slow","immoral","elk","21","female","","","{""j_cert_conflicted_RS"":0,""n_cert_conflicted_RS"":6,""j_cert_reservations_RS"":1,""n_cert_reservations_RS"":4}","","[0,1,2,3]","certainty"
"","14812","survey-likert","11","2.0.0","112467","plr5jv2dx4v","slow","immoral","elk","21","female","","","{""j_cert_quite_certain"":6,""n_cert_quite_certain"":1,""j_cert_far_from_alternative"":0,""n_cert_far_from_alternative"":5}","","[0,1,2,3]","certainty"
"","14517","survey-likert","12","2.0.0","126987","plr5jv2dx4v","slow","immoral","elk","21","female","","","{""j_imp_calm_contained_RS"":6,""n_imp_calm_contained_RS"":2,""j_imp_upset_acted_without_thinking"":3,""n_imp_upset_acted_without_thinking"":3}","","[0,1,2,3]","emotional_impulsivity"
"","6239","html-button-response","13","2.0.0","133229","plr5jv2dx4v","slow","immoral","elk","21","female","","<p> The next day, B was leaving the local grocery store when they also spotted a lost wallet next to their car.</p><p> Upon picking up the wallet and looking inside, B found several hundred dollars in cash. </p>","0","","",""
"","6296","html-button-response","14","2.0.0","139527","plr5jv2dx4v","slow","immoral","elk","21","female","","<p> B saw their decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking, B decided to leave the wallet where they found it and drove off. </p>","0","byst_scenario_slow","",""
"","4959","survey-likert","15","2.0.0","144488","plr5jv2dx4v","slow","immoral","elk","21","female","","","{""b_standards_eval"":5}","","[0]","byst_standards"
"","2373","survey-likert","16","2.0.0","146863","plr5jv2dx4v","slow","immoral","elk","21","female","","","{""b_principles_eval"":5}","","[0]","byst_principles"
"","3801","survey-likert","17","2.0.0","150667","plr5jv2dx4v","slow","immoral","elk","21","female","","","{""b_deepness_eval"":4}","","[0]","byst_depth"
"","5110","survey-likert","18","2.0.0","155780","plr5jv2dx4v","slow","immoral","elk","21","female","","","{""b_imp_upset_acted_without_thinking"":3,""b_imp_calm_contained_RS"":4}","","[1,0]","byst_emotional_impulsivity"
"","14932","survey-likert","19","2.0.0","170715","plr5jv2dx4v","slow","immoral","elk","21","female","","","{""B_cert_conflicted_RS"":5,""B_cert_far_from_alternative"":4,""B_cert_reservations_RS"":4,""B_cert_quite_certain"":5}","","[0,3,1,2]","byst_certainty"
"","2214","survey-text","20","2.0.0","172933","plr5jv2dx4v","slow","immoral","elk","21","female","","","{""participant_age"":""21""}","","",""
"","2350","survey-text","21","2.0.0","175287","plr5jv2dx4v","slow","immoral","elk","21","female","","","{""gender"":""female""}","","",""
"","23116","survey-likert","22","2.0.0","198407","plr5jv2dx4v","slow","immoral","elk","21","female","","","{""ma_some_actions_wrong"":4,""ma_gut_feelings"":5,""ma_character_reflective"":5,""ma_outcomes_matter"":4,""ma_think_through"":6}","","[3,0,4,2,1]","moral_attitudes"
"","6234","survey-text","23","2.0.0","204644","plr5jv2dx4v","slow","immoral","elk","21","female","","","{""Q0"":""moral decisions""}","","",""
