"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","bystander_condition","condition","participant","age","gender","inquiry","stimulus","response","item_type","question_order","block_type"
"true","1384","fullscreen","0","null","2392","p5a5napt8o8","quick","moral","wolf","20","female","","","","","",""
"","1067","html-keyboard-response","1","2.0.0","3461","p5a5napt8o8","quick","moral","wolf","20","female","","Welcome to the experiment. Press any key to begin."," ","","",""
"","5403","survey-text","2","2.0.0","8866","p5a5napt8o8","quick","moral","wolf","20","female","","","{""participant_id"":""wolf""}","","",""
"","2684","html-keyboard-response","3","2.0.0","11551","p5a5napt8o8","quick","moral","wolf","20","female","","
   <p>In this experiment, you will be presented with potential scenarios.</p><p>Please read through these carefully.</p>
   <p>You will answer a series of questions afterwards.</p>
   <p>Press any key to begin.</p>
 "," ","","",""
"","10562","html-button-response","4","2.0.0","22114","p5a5napt8o8","quick","moral","wolf","20","female","","<p>Two people, J and N, were walking to separate cars in the parking lot of Andronico's, a local grocery store, where they each spotted a different lost wallet next to the cars.</p><p> Upon picking up the wallet and looking inside, each found several hundred dollars in cash. Each person considered whether they should return the wallet and money to the Customer Service desk at Andronico's, or pocket the money and drive away.</p>","0","","",""
"","10048","html-button-response","5","2.0.0","32162","p5a5napt8o8","quick","moral","wolf","20","female",""," <p> J saw their decision as an easy one and was <i> able to decide quickly. J did not steal the money </i> and instead left the wallet with Customer Service.</p><p> In contrast, N saw their decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking in their car, <i> N too decided not to steal the money </i> and instead left the wallet with customer service. </i><br> </p>","0","moral_stimulus_1","",""
"","8698","survey-likert","6","2.0.0","40861","p5a5napt8o8","quick","moral","wolf","20","female","","","{""j_manipulation_check"":6,""n_manipulation_check"":0}","","[0,1]",""
"","17013","survey-likert","7","2.0.0","57875","p5a5napt8o8","quick","moral","wolf","20","female","","","{""n_standards_eval"":4,""j_standards_eval"":6}","","[1,0]","standards"
"","16000","survey-likert","8","2.0.0","73876","p5a5napt8o8","quick","moral","wolf","20","female","","","{""n_principles_eval"":4,""j_principles_eval"":5}","","[1,0]","principles"
"","37196","survey-likert","9","2.0.0","111073","p5a5napt8o8","quick","moral","wolf","20","female","","","{""j_deepness_eval"":6,""n_deepness_eval"":6}","","[0,1]","depth"
"","11538","survey-likert","10","2.0.0","122612","p5a5napt8o8","quick","moral","wolf","20","female","","","{""j_cert_conflicted_RS"":0,""n_cert_conflicted_RS"":5,""j_cert_reservations_RS"":0,""n_cert_reservations_RS"":5}","","[0,1,2,3]","certainty"
"","17142","survey-likert","11","2.0.0","139756","p5a5napt8o8","quick","moral","wolf","20","female","","","{""j_cert_quite_certain"":6,""n_cert_quite_certain"":0,""j_cert_far_from_alternative"":0,""n_cert_far_from_alternative"":5}","","[0,1,2,3]","certainty"
"","14748","survey-likert","12","2.0.0","154504","p5a5napt8o8","quick","moral","wolf","20","female","","","{""j_imp_calm_contained_RS"":4,""n_imp_calm_contained_RS"":2,""j_imp_upset_acted_without_thinking"":0,""n_imp_upset_acted_without_thinking"":0}","","[0,1,2,3]","emotional_impulsivity"
"","4284","html-button-response","13","2.0.0","158789","p5a5napt8o8","quick","moral","wolf","20","female","","<p> The next day, B was leaving the local grocery store when they also spotted a lost wallet next to their car.</p><p> Upon picking up the wallet and looking inside, B found several hundred dollars in cash. </p>","0","","",""
"","3195","html-button-response","14","2.0.0","161984","p5a5napt8o8","quick","moral","wolf","20","female","","<p> B saw their decision as an easy one and was <i> able to decide quickly </i>. B left the wallet where they found it and drove off. </i></p>","0","byst_scenario_quick","",""
"","14339","survey-likert","15","2.0.0","176324","p5a5napt8o8","quick","moral","wolf","20","female","","","{""b_principles_eval"":4}","","[0]","byst_principles"
"","6021","survey-likert","16","2.0.0","182346","p5a5napt8o8","quick","moral","wolf","20","female","","","{""b_standards_eval"":3}","","[0]","byst_standards"
"","6262","survey-likert","17","2.0.0","188609","p5a5napt8o8","quick","moral","wolf","20","female","","","{""b_deepness_eval"":1}","","[0]","byst_depth"
"","10782","survey-likert","18","2.0.0","199392","p5a5napt8o8","quick","moral","wolf","20","female","","","{""B_cert_quite_certain"":6,""B_cert_reservations_RS"":0,""B_cert_far_from_alternative"":0,""B_cert_conflicted_RS"":0}","","[2,1,3,0]","byst_certainty"
"","4125","survey-likert","19","2.0.0","203518","p5a5napt8o8","quick","moral","wolf","20","female","","","{""b_imp_upset_acted_without_thinking"":0,""b_imp_calm_contained_RS"":6}","","[1,0]","byst_emotional_impulsivity"
"","2771","survey-text","20","2.0.0","206290","p5a5napt8o8","quick","moral","wolf","20","female","","","{""participant_age"":""20""}","","",""
"","4097","survey-text","21","2.0.0","210388","p5a5napt8o8","quick","moral","wolf","20","female","","","{""gender"":""female""}","","",""
"","30803","survey-likert","22","2.0.0","241193","p5a5napt8o8","quick","moral","wolf","20","female","","","{""ma_character_reflective"":5,""ma_some_actions_wrong"":2,""ma_think_through"":6,""ma_outcomes_matter"":6,""ma_gut_feelings"":1}","","[4,3,1,2,0]","moral_attitudes"
"","45911","survey-text","23","2.0.0","287047","p5a5napt8o8","quick","moral","wolf","20","female","","","{""Q0"":""I think it's about morality and how we view different courses of actions as differing in morality even if the result was the same; no tech. difficulties""}","","",""
