"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","bystander_condition","condition","participant","age","gender","inquiry","stimulus","response","item_type","question_order","block_type"
"true","1164","fullscreen","0","null","2168","pvnnq4wcjrt","slow","immoral","alpaca","23","male","","","","","",""
"","1388","html-keyboard-response","1","2.0.0","3558","pvnnq4wcjrt","slow","immoral","alpaca","23","male","","Welcome to the experiment. Press any key to begin."," ","","",""
"","3461","survey-text","2","2.0.0","7026","pvnnq4wcjrt","slow","immoral","alpaca","23","male","","","{""participant_id"":""alpaca""}","","",""
"","13619","html-keyboard-response","3","2.0.0","20647","pvnnq4wcjrt","slow","immoral","alpaca","23","male","","
   <p>In this experiment, you will be presented with potential scenarios.</p><p>Please read through these carefully.</p>
   <p>You will answer a series of questions afterwards.</p>
   <p>Press any key to begin.</p>
 "," ","","",""
"","16000","html-button-response","4","2.0.0","36650","pvnnq4wcjrt","slow","immoral","alpaca","23","male","","<p>Two people, J and N, were walking to separate cars in the parking lot of Andronico's, a local grocery store, where they each spotted a different lost wallet next to the cars.</p><p> Upon picking up the wallet and looking inside, each found several hundred dollars in cash. Each person considered whether they should return the wallet and money to the Customer Service desk at Andronico's, or pocket the money and drive away.</p>","0","","",""
"","24680","html-button-response","5","2.0.0","61332","pvnnq4wcjrt","slow","immoral","alpaca","23","male",""," <p> J saw their decision as an easy one and was <i> able to decide quickly. J pocketed the money and drove off. </i></p><p> In contrast, N saw their decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking in their car, <i> N too decided to pocket the money and drive off.</i></p>","0","immoral_stimulus_1","",""
"","10196","survey-likert","6","2.0.0","71531","pvnnq4wcjrt","slow","immoral","alpaca","23","male","","","{""j_manipulation_check"":5,""n_manipulation_check"":1}","","[0,1]",""
"","19048","survey-likert","7","2.0.0","90582","pvnnq4wcjrt","slow","immoral","alpaca","23","male","","","{""n_standards_eval"":2,""j_standards_eval"":0}","","[1,0]","standards"
"","12280","survey-likert","8","2.0.0","102865","pvnnq4wcjrt","slow","immoral","alpaca","23","male","","","{""n_principles_eval"":2,""j_principles_eval"":1}","","[1,0]","principles"
"","10597","survey-likert","9","2.0.0","113465","pvnnq4wcjrt","slow","immoral","alpaca","23","male","","","{""n_deepness_eval"":4,""j_deepness_eval"":3}","","[1,0]","depth"
"","16314","survey-likert","10","2.0.0","129783","pvnnq4wcjrt","slow","immoral","alpaca","23","male","","","{""j_cert_conflicted_RS"":2,""n_cert_conflicted_RS"":5,""j_cert_reservations_RS"":2,""n_cert_reservations_RS"":5}","","[0,1,2,3]","certainty"
"","12214","survey-likert","11","2.0.0","141999","pvnnq4wcjrt","slow","immoral","alpaca","23","male","","","{""j_cert_quite_certain"":1,""n_cert_quite_certain"":4,""j_cert_far_from_alternative"":3,""n_cert_far_from_alternative"":3}","","[0,1,2,3]","certainty"
"","23997","survey-likert","12","2.0.0","165999","pvnnq4wcjrt","slow","immoral","alpaca","23","male","","","{""j_imp_calm_contained_RS"":2,""n_imp_calm_contained_RS"":3,""j_imp_upset_acted_without_thinking"":4,""n_imp_upset_acted_without_thinking"":2}","","[0,1,2,3]","emotional_impulsivity"
"","9414","html-button-response","13","2.0.0","175415","pvnnq4wcjrt","slow","immoral","alpaca","23","male","","<p> The next day, B was leaving the local grocery store when they also spotted a lost wallet next to their car.</p><p> Upon picking up the wallet and looking inside, B found several hundred dollars in cash. </p>","0","","",""
"","9798","html-button-response","14","2.0.0","185215","pvnnq4wcjrt","slow","immoral","alpaca","23","male","","<p> B saw their decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking, B decided to leave the wallet where they found it and drove off. </p>","0","byst_scenario_slow","",""
"","24648","survey-likert","15","2.0.0","209865","pvnnq4wcjrt","slow","immoral","alpaca","23","male","","","{""b_principles_eval"":5}","","[0]","byst_principles"
"","6681","survey-likert","16","2.0.0","216549","pvnnq4wcjrt","slow","immoral","alpaca","23","male","","","{""b_standards_eval"":4}","","[0]","byst_standards"
"","5197","survey-likert","17","2.0.0","221748","pvnnq4wcjrt","slow","immoral","alpaca","23","male","","","{""b_deepness_eval"":4}","","[0]","byst_depth"
"","14331","survey-likert","18","2.0.0","236082","pvnnq4wcjrt","slow","immoral","alpaca","23","male","","","{""B_cert_far_from_alternative"":3,""B_cert_conflicted_RS"":4,""B_cert_reservations_RS"":2,""B_cert_quite_certain"":2}","","[3,0,1,2]","byst_certainty"
"","2548","survey-likert","19","2.0.0","238631","pvnnq4wcjrt","slow","immoral","alpaca","23","male","","","{""b_imp_calm_contained_RS"":3,""b_imp_upset_acted_without_thinking"":3}","","[0,1]","byst_emotional_impulsivity"
"","2532","survey-text","20","2.0.0","241166","pvnnq4wcjrt","slow","immoral","alpaca","23","male","","","{""participant_age"":""23""}","","",""
"","2881","survey-text","21","2.0.0","244050","pvnnq4wcjrt","slow","immoral","alpaca","23","male","","","{""gender"":""male""}","","",""
"","22463","survey-likert","22","2.0.0","266516","pvnnq4wcjrt","slow","immoral","alpaca","23","male","","","{""ma_gut_feelings"":3,""ma_character_reflective"":4,""ma_outcomes_matter"":2,""ma_some_actions_wrong"":2,""ma_think_through"":5}","","[0,4,2,3,1]","moral_attitudes"
"","33263","survey-text","23","2.0.0","299782","pvnnq4wcjrt","slow","immoral","alpaca","23","male","","","{""Q0"":""moral right or wrong depending on how quickly we respond to things, instinctively making a decision, whether it is right or wrong""}","","",""
