"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","bystander_condition","condition","participant","age","gender","inquiry","stimulus","response","item_type","question_order","block_type"
"true","1405","fullscreen","0","null","2421","p06tycu8a34","slow","moral","whale","21","male","","","","","",""
"","1291","html-keyboard-response","1","2.0.0","3713","p06tycu8a34","slow","moral","whale","21","male","","Welcome to the experiment. Press any key to begin."," ","","",""
"","1851","survey-text","2","2.0.0","5575","p06tycu8a34","slow","moral","whale","21","male","","","{""participant_id"":""whale""}","","",""
"","975","html-keyboard-response","3","2.0.0","6550","p06tycu8a34","slow","moral","whale","21","male","","
   <p>In this experiment, you will be presented with potential scenarios.</p><p>Please read through these carefully.</p>
   <p>You will answer a series of questions afterwards.</p>
   <p>Press any key to begin.</p>
 "," ","","",""
"","3020","html-button-response","4","2.0.0","9572","p06tycu8a34","slow","moral","whale","21","male","","<p>Two people, J and N, were walking to separate cars in the parking lot of Andronico's, a local grocery store, where they each spotted a different lost wallet next to the cars.</p><p> Upon picking up the wallet and looking inside, each found several hundred dollars in cash. Each person considered whether they should return the wallet and money to the Customer Service desk at Andronico's, or pocket the money and drive away.</p>","0","","",""
"","765","html-button-response","5","2.0.0","10338","p06tycu8a34","slow","moral","whale","21","male",""," <p> J saw their decision as an easy one and was <i> able to decide quickly. J did not steal the money </i> and instead left the wallet with Customer Service.</p><p> In contrast, N saw their decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking in their car, <i> N too decided not to steal the money </i> and instead left the wallet with customer service. </i><br> </p>","0","moral_stimulus_1","",""
"","4684","survey-likert","6","2.0.0","15024","p06tycu8a34","slow","moral","whale","21","male","","","{""j_manipulation_check"":4,""n_manipulation_check"":2}","","[0,1]",""
"","9190","survey-likert","7","2.0.0","24216","p06tycu8a34","slow","moral","whale","21","male","","","{""n_principles_eval"":5,""j_principles_eval"":4}","","[1,0]","principles"
"","4190","survey-likert","8","2.0.0","28407","p06tycu8a34","slow","moral","whale","21","male","","","{""n_standards_eval"":1,""j_standards_eval"":2}","","[1,0]","standards"
"","4325","survey-likert","9","2.0.0","32733","p06tycu8a34","slow","moral","whale","21","male","","","{""n_deepness_eval"":5,""j_deepness_eval"":4}","","[1,0]","depth"
"","13973","survey-likert","10","2.0.0","46707","p06tycu8a34","slow","moral","whale","21","male","","","{""j_cert_conflicted_RS"":1,""n_cert_conflicted_RS"":5,""j_cert_reservations_RS"":1,""n_cert_reservations_RS"":5}","","[0,1,2,3]","certainty"
"","13149","survey-likert","11","2.0.0","59857","p06tycu8a34","slow","moral","whale","21","male","","","{""j_cert_quite_certain"":5,""n_cert_quite_certain"":1,""j_cert_far_from_alternative"":5,""n_cert_far_from_alternative"":1}","","[0,1,2,3]","certainty"
"","10398","survey-likert","12","2.0.0","70257","p06tycu8a34","slow","moral","whale","21","male","","","{""j_imp_calm_contained_RS"":4,""n_imp_calm_contained_RS"":3,""j_imp_upset_acted_without_thinking"":2,""n_imp_upset_acted_without_thinking"":3}","","[0,1,2,3]","emotional_impulsivity"
"","1233","html-button-response","13","2.0.0","71491","p06tycu8a34","slow","moral","whale","21","male","","<p> The next day, B was leaving the local grocery store when they also spotted a lost wallet next to their car.</p><p> Upon picking up the wallet and looking inside, B found several hundred dollars in cash. </p>","0","","",""
"","638","html-button-response","14","2.0.0","72131","p06tycu8a34","slow","moral","whale","21","male","","<p> B saw their decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking, B decided to leave the wallet where they found it and drove off. </p>","0","byst_scenario_slow","",""
"","3191","survey-likert","15","2.0.0","75323","p06tycu8a34","slow","moral","whale","21","male","","","{""b_principles_eval"":4}","","[0]","byst_principles"
"","1806","survey-likert","16","2.0.0","77130","p06tycu8a34","slow","moral","whale","21","male","","","{""b_standards_eval"":2}","","[0]","byst_standards"
"","1672","survey-likert","17","2.0.0","78804","p06tycu8a34","slow","moral","whale","21","male","","","{""b_deepness_eval"":3}","","[0]","byst_depth"
"","4968","survey-likert","18","2.0.0","83775","p06tycu8a34","slow","moral","whale","21","male","","","{""b_imp_calm_contained_RS"":1,""b_imp_upset_acted_without_thinking"":4}","","[0,1]","byst_emotional_impulsivity"
"","6663","survey-likert","19","2.0.0","90441","p06tycu8a34","slow","moral","whale","21","male","","","{""B_cert_conflicted_RS"":5,""B_cert_quite_certain"":4,""B_cert_far_from_alternative"":3,""B_cert_reservations_RS"":2}","","[0,2,3,1]","byst_certainty"
"","2591","survey-text","20","2.0.0","93036","p06tycu8a34","slow","moral","whale","21","male","","","{""participant_age"":""21""}","","",""
"","1943","survey-text","21","2.0.0","94982","p06tycu8a34","slow","moral","whale","21","male","","","{""gender"":""male""}","","",""
"","13941","survey-likert","22","2.0.0","108927","p06tycu8a34","slow","moral","whale","21","male","","","{""ma_gut_feelings"":5,""ma_character_reflective"":5,""ma_outcomes_matter"":4,""ma_some_actions_wrong"":5,""ma_think_through"":5}","","[0,4,2,3,1]","moral_attitudes"
"","14895","survey-text","23","2.0.0","123825","p06tycu8a34","slow","moral","whale","21","male","","","{""Q0"":""affect of speed in perception of morality""}","","",""
