"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","bystander_condition","condition","participant","age","gender","inquiry","stimulus","response","item_type","question_order","block_type"
"true","3907","fullscreen","0","null","4913","pjw6572tzu5","slow","moral","penguin","19","female","","","","","",""
"","2345","html-keyboard-response","1","2.0.0","7259","pjw6572tzu5","slow","moral","penguin","19","female","","Welcome to the experiment. Press any key to begin."," ","","",""
"","2814","survey-text","2","2.0.0","10079","pjw6572tzu5","slow","moral","penguin","19","female","","","{""participant_id"":""penguin""}","","",""
"","6411","html-keyboard-response","3","2.0.0","16492","pjw6572tzu5","slow","moral","penguin","19","female","","
   <p>In this experiment, you will be presented with potential scenarios.</p><p>Please read through these carefully.</p>
   <p>You will answer a series of questions afterwards.</p>
   <p>Press any key to begin.</p>
 "," ","","",""
"","76782","html-button-response","4","2.0.0","93277","pjw6572tzu5","slow","moral","penguin","19","female","","<p>Two people, J and N, were walking to separate cars in the parking lot of Andronico's, a local grocery store, where they each spotted a different lost wallet next to the cars.</p><p> Upon picking up the wallet and looking inside, each found several hundred dollars in cash. Each person considered whether they should return the wallet and money to the Customer Service desk at Andronico's, or pocket the money and drive away.</p>","0","","",""
"","26943","html-button-response","5","2.0.0","120222","pjw6572tzu5","slow","moral","penguin","19","female",""," <p> J saw their decision as an easy one and was <i> able to decide quickly. J did not steal the money </i> and instead left the wallet with Customer Service.</p><p> In contrast, N saw their decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking in their car, <i> N too decided not to steal the money </i> and instead left the wallet with customer service. </i><br> </p>","0","moral_stimulus_1","",""
"","17162","survey-likert","6","2.0.0","137386","pjw6572tzu5","slow","moral","penguin","19","female","","","{""n_manipulation_check"":1,""j_manipulation_check"":5}","","[1,0]",""
"","28375","survey-likert","7","2.0.0","165763","pjw6572tzu5","slow","moral","penguin","19","female","","","{""j_principles_eval"":3,""n_principles_eval"":3}","","[0,1]","principles"
"","6917","survey-likert","8","2.0.0","172682","pjw6572tzu5","slow","moral","penguin","19","female","","","{""n_standards_eval"":4,""j_standards_eval"":4}","","[1,0]","standards"
"","14158","survey-likert","9","2.0.0","186843","pjw6572tzu5","slow","moral","penguin","19","female","","","{""n_deepness_eval"":5,""j_deepness_eval"":5}","","[1,0]","depth"
"","27710","survey-likert","10","2.0.0","214555","pjw6572tzu5","slow","moral","penguin","19","female","","","{""j_cert_conflicted_RS"":2,""n_cert_conflicted_RS"":3,""j_cert_reservations_RS"":1,""n_cert_reservations_RS"":2}","","[0,1,2,3]","certainty"
"","46941","survey-likert","11","2.0.0","261498","pjw6572tzu5","slow","moral","penguin","19","female","","","{""j_cert_quite_certain"":5,""n_cert_quite_certain"":4,""j_cert_far_from_alternative"":5,""n_cert_far_from_alternative"":4}","","[0,1,2,3]","certainty"
"","30259","survey-likert","12","2.0.0","291759","pjw6572tzu5","slow","moral","penguin","19","female","","","{""j_imp_calm_contained_RS"":5,""n_imp_calm_contained_RS"":4,""j_imp_upset_acted_without_thinking"":4,""n_imp_upset_acted_without_thinking"":4}","","[0,1,2,3]","emotional_impulsivity"
"","49324","html-button-response","13","2.0.0","341086","pjw6572tzu5","slow","moral","penguin","19","female","","<p> The next day, B was leaving the local grocery store when they also spotted a lost wallet next to their car.</p><p> Upon picking up the wallet and looking inside, B found several hundred dollars in cash. </p>","0","","",""
"","5179","html-button-response","14","2.0.0","346266","pjw6572tzu5","slow","moral","penguin","19","female","","<p> B saw their decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking, B decided to leave the wallet where they found it and drove off. </p>","0","byst_scenario_slow","",""
"","4531","survey-likert","15","2.0.0","350802","pjw6572tzu5","slow","moral","penguin","19","female","","","{""b_principles_eval"":3}","","[0]","byst_principles"
"","5326","survey-likert","16","2.0.0","356131","pjw6572tzu5","slow","moral","penguin","19","female","","","{""b_standards_eval"":3}","","[0]","byst_standards"
"","3631","survey-likert","17","2.0.0","359764","pjw6572tzu5","slow","moral","penguin","19","female","","","{""b_deepness_eval"":3}","","[0]","byst_depth"
"","7879","survey-likert","18","2.0.0","367646","pjw6572tzu5","slow","moral","penguin","19","female","","","{""b_imp_calm_contained_RS"":1,""b_imp_upset_acted_without_thinking"":2}","","[0,1]","byst_emotional_impulsivity"
"","19309","survey-likert","19","2.0.0","386959","pjw6572tzu5","slow","moral","penguin","19","female","","","{""B_cert_quite_certain"":2,""B_cert_reservations_RS"":2,""B_cert_far_from_alternative"":5,""B_cert_conflicted_RS"":5}","","[2,1,3,0]","byst_certainty"
"","2244","survey-text","20","2.0.0","389205","pjw6572tzu5","slow","moral","penguin","19","female","","","{""participant_age"":""19""}","","",""
"","4646","survey-text","21","2.0.0","393856","pjw6572tzu5","slow","moral","penguin","19","female","","","{""gender"":""female""}","","",""
"","34229","survey-likert","22","2.0.0","428088","pjw6572tzu5","slow","moral","penguin","19","female","","","{""ma_gut_feelings"":3,""ma_character_reflective"":2,""ma_think_through"":2,""ma_some_actions_wrong"":2,""ma_outcomes_matter"":1}","","[0,4,1,3,2]","moral_attitudes"
"","3074","survey-text","23","2.0.0","431167","pjw6572tzu5","slow","moral","penguin","19","female","","","{""Q0"":""""}","","",""
