"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","bystander_condition","condition","participant","age","gender","inquiry","stimulus","response","item_type","question_order","block_type"
"true","174964","fullscreen","0","null","175974","psz0v7b5rj0","slow","moral","gazelle","21","female","","","","","",""
"","512","html-keyboard-response","1","2.0.0","176488","psz0v7b5rj0","slow","moral","gazelle","21","female","","Welcome to the experiment. Press any key to begin."," ","","",""
"","3236","survey-text","2","2.0.0","179751","psz0v7b5rj0","slow","moral","gazelle","21","female","","","{""participant_id"":""gazelle""}","","",""
"","4788","html-keyboard-response","3","2.0.0","184541","psz0v7b5rj0","slow","moral","gazelle","21","female","","
   <p>In this experiment, you will be presented with potential scenarios.</p><p>Please read through these carefully.</p>
   <p>You will answer a series of questions afterwards.</p>
   <p>Press any key to begin.</p>
 "," ","","",""
"","17980","html-button-response","4","2.0.0","202523","psz0v7b5rj0","slow","moral","gazelle","21","female","","<p>Two people, J and N, were walking to separate cars in the parking lot of Andronico's, a local grocery store, where they each spotted a different lost wallet next to the cars.</p><p> Upon picking up the wallet and looking inside, each found several hundred dollars in cash. Each person considered whether they should return the wallet and money to the Customer Service desk at Andronico's, or pocket the money and drive away.</p>","0","","",""
"","41652","html-button-response","5","2.0.0","244177","psz0v7b5rj0","slow","moral","gazelle","21","female","","<p> N saw their decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking in their car, <i> N decided not to steal the money </i> and instead left the wallet with customer service. </i><br> </p><p>In contrast, J saw their decision as an easy one and was <i> able to decide quickly. J too did not steal the money </i> and instead left the wallet with Customer Service.</p>","0","moral_stimulus_2","",""
"","10202","survey-likert","6","2.0.0","254381","psz0v7b5rj0","slow","moral","gazelle","21","female","","","{""j_manipulation_check"":6,""n_manipulation_check"":0}","","[0,1]",""
"","34757","survey-likert","7","2.0.0","289140","psz0v7b5rj0","slow","moral","gazelle","21","female","","","{""n_standards_eval"":0,""j_standards_eval"":6}","","[1,0]","standards"
"","22584","survey-likert","8","2.0.0","311726","psz0v7b5rj0","slow","moral","gazelle","21","female","","","{""j_principles_eval"":6,""n_principles_eval"":0}","","[0,1]","principles"
"","33764","survey-likert","9","2.0.0","345493","psz0v7b5rj0","slow","moral","gazelle","21","female","","","{""j_deepness_eval"":5,""n_deepness_eval"":0}","","[0,1]","depth"
"","20488","survey-likert","10","2.0.0","365983","psz0v7b5rj0","slow","moral","gazelle","21","female","","","{""j_cert_conflicted_RS"":0,""n_cert_conflicted_RS"":4,""j_cert_reservations_RS"":0,""n_cert_reservations_RS"":5}","","[0,1,2,3]","certainty"
"","57824","survey-likert","11","2.0.0","423809","psz0v7b5rj0","slow","moral","gazelle","21","female","","","{""j_cert_quite_certain"":2,""n_cert_quite_certain"":4,""j_cert_far_from_alternative"":0,""n_cert_far_from_alternative"":4}","","[0,1,2,3]","certainty"
"","29785","survey-likert","12","2.0.0","453596","psz0v7b5rj0","slow","moral","gazelle","21","female","","","{""j_imp_calm_contained_RS"":6,""n_imp_calm_contained_RS"":4,""j_imp_upset_acted_without_thinking"":1,""n_imp_upset_acted_without_thinking"":4}","","[0,1,2,3]","emotional_impulsivity"
"","11590","html-button-response","13","2.0.0","465187","psz0v7b5rj0","slow","moral","gazelle","21","female","","<p> The next day, B was leaving the local grocery store when they also spotted a lost wallet next to their car.</p><p> Upon picking up the wallet and looking inside, B found several hundred dollars in cash. </p>","0","","",""
"","5024","html-button-response","14","2.0.0","470212","psz0v7b5rj0","slow","moral","gazelle","21","female","","<p> B saw their decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking, B decided to leave the wallet where they found it and drove off. </p>","0","byst_scenario_slow","",""
"","6600","survey-likert","15","2.0.0","476813","psz0v7b5rj0","slow","moral","gazelle","21","female","","","{""b_principles_eval"":2}","","[0]","byst_principles"
"","4140","survey-likert","16","2.0.0","480956","psz0v7b5rj0","slow","moral","gazelle","21","female","","","{""b_standards_eval"":2}","","[0]","byst_standards"
"","5261","survey-likert","17","2.0.0","486218","psz0v7b5rj0","slow","moral","gazelle","21","female","","","{""b_deepness_eval"":2}","","[0]","byst_depth"
"","9686","survey-likert","18","2.0.0","495906","psz0v7b5rj0","slow","moral","gazelle","21","female","","","{""b_imp_upset_acted_without_thinking"":4,""b_imp_calm_contained_RS"":4}","","[1,0]","byst_emotional_impulsivity"
"","23999","survey-likert","19","2.0.0","519907","psz0v7b5rj0","slow","moral","gazelle","21","female","","","{""B_cert_quite_certain"":2,""B_cert_reservations_RS"":4,""B_cert_far_from_alternative"":1,""B_cert_conflicted_RS"":1}","","[2,1,3,0]","byst_certainty"
"","2722","survey-text","20","2.0.0","522635","psz0v7b5rj0","slow","moral","gazelle","21","female","","","{""participant_age"":""21""}","","",""
"","2680","survey-text","21","2.0.0","525320","psz0v7b5rj0","slow","moral","gazelle","21","female","","","{""gender"":""female""}","","",""
"","23995","survey-likert","22","2.0.0","549317","psz0v7b5rj0","slow","moral","gazelle","21","female","","","{""ma_gut_feelings"":5,""ma_outcomes_matter"":5,""ma_some_actions_wrong"":5,""ma_character_reflective"":5,""ma_think_through"":5}","","[0,2,3,4,1]","moral_attitudes"
"","64364","survey-text","23","2.0.0","613686","psz0v7b5rj0","slow","moral","gazelle","21","female","","","{""Q0"":""the experiment was about assumptions on others'morality base on their actions. there was no technical difficulties. ""}","","",""
