"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","bystander_condition","condition","participant","age","gender","inquiry","stimulus","response","item_type","question_order","block_type"
"true","1343","fullscreen","0","null","2346","puelnokvxox","slow","immoral","cub","22","male","","","","","",""
"","1382","html-keyboard-response","1","2.0.0","3730","puelnokvxox","slow","immoral","cub","22","male","","Welcome to the experiment. Press any key to begin."," ","","",""
"","3079","survey-text","2","2.0.0","6813","puelnokvxox","slow","immoral","cub","22","male","","","{""participant_id"":""cub""}","","",""
"","8730","html-keyboard-response","3","2.0.0","15544","puelnokvxox","slow","immoral","cub","22","male","","
   <p>In this experiment, you will be presented with potential scenarios.</p><p>Please read through these carefully.</p>
   <p>You will answer a series of questions afterwards.</p>
   <p>Press any key to begin.</p>
 "," ","","",""
"","33773","html-button-response","4","2.0.0","49320","puelnokvxox","slow","immoral","cub","22","male","","<p>Two people, J and N, were walking to separate cars in the parking lot of Andronico's, a local grocery store, where they each spotted a different lost wallet next to the cars.</p><p> Upon picking up the wallet and looking inside, each found several hundred dollars in cash. Each person considered whether they should return the wallet and money to the Customer Service desk at Andronico's, or pocket the money and drive away.</p>","0","","",""
"","21415","html-button-response","5","2.0.0","70736","puelnokvxox","slow","immoral","cub","22","male",""," <p> J saw their decision as an easy one and was <i> able to decide quickly. J pocketed the money and drove off. </i></p><p> In contrast, N saw their decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking in their car, <i> N too decided to pocket the money and drive off.</i></p>","0","immoral_stimulus_1","",""
"","9792","survey-likert","6","2.0.0","80531","puelnokvxox","slow","immoral","cub","22","male","","","{""n_manipulation_check"":0,""j_manipulation_check"":6}","","[1,0]",""
"","20973","survey-likert","7","2.0.0","101506","puelnokvxox","slow","immoral","cub","22","male","","","{""j_principles_eval"":0,""n_principles_eval"":2}","","[0,1]","principles"
"","23990","survey-likert","8","2.0.0","125498","puelnokvxox","slow","immoral","cub","22","male","","","{""j_standards_eval"":0,""n_standards_eval"":2}","","[0,1]","standards"
"","18722","survey-likert","9","2.0.0","144224","puelnokvxox","slow","immoral","cub","22","male","","","{""j_deepness_eval"":0,""n_deepness_eval"":2}","","[0,1]","depth"
"","40478","survey-likert","10","2.0.0","184705","puelnokvxox","slow","immoral","cub","22","male","","","{""j_cert_conflicted_RS"":0,""n_cert_conflicted_RS"":5,""j_cert_reservations_RS"":0,""n_cert_reservations_RS"":2}","","[0,1,2,3]","certainty"
"","29068","survey-likert","11","2.0.0","213776","puelnokvxox","slow","immoral","cub","22","male","","","{""j_cert_quite_certain"":0,""n_cert_quite_certain"":5,""j_cert_far_from_alternative"":0,""n_cert_far_from_alternative"":2}","","[0,1,2,3]","certainty"
"","31106","survey-likert","12","2.0.0","244885","puelnokvxox","slow","immoral","cub","22","male","","","{""j_imp_calm_contained_RS"":6,""n_imp_calm_contained_RS"":1,""j_imp_upset_acted_without_thinking"":1,""n_imp_upset_acted_without_thinking"":4}","","[0,1,2,3]","emotional_impulsivity"
"","29137","html-button-response","13","2.0.0","274026","puelnokvxox","slow","immoral","cub","22","male","","<p> The next day, B was leaving the local grocery store when they also spotted a lost wallet next to their car.</p><p> Upon picking up the wallet and looking inside, B found several hundred dollars in cash. </p>","0","","",""
"","11333","html-button-response","14","2.0.0","285361","puelnokvxox","slow","immoral","cub","22","male","","<p> B saw their decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking, B decided to leave the wallet where they found it and drove off. </p>","0","byst_scenario_slow","",""
"","9692","survey-likert","15","2.0.0","295054","puelnokvxox","slow","immoral","cub","22","male","","","{""b_standards_eval"":4}","","[0]","byst_standards"
"","5436","survey-likert","16","2.0.0","300491","puelnokvxox","slow","immoral","cub","22","male","","","{""b_principles_eval"":4}","","[0]","byst_principles"
"","8799","survey-likert","17","2.0.0","309293","puelnokvxox","slow","immoral","cub","22","male","","","{""b_deepness_eval"":5}","","[0]","byst_depth"
"","34673","survey-likert","18","2.0.0","343968","puelnokvxox","slow","immoral","cub","22","male","","","{""B_cert_far_from_alternative"":3,""B_cert_conflicted_RS"":5,""B_cert_quite_certain"":4,""B_cert_reservations_RS"":4}","","[3,0,2,1]","byst_certainty"
"","42752","survey-likert","19","2.0.0","386722","puelnokvxox","slow","immoral","cub","22","male","","","{""b_imp_calm_contained_RS"":3,""b_imp_upset_acted_without_thinking"":3}","","[0,1]","byst_emotional_impulsivity"
"","3713","survey-text","20","2.0.0","390439","puelnokvxox","slow","immoral","cub","22","male","","","{""participant_age"":""22""}","","",""
"","10195","survey-text","21","2.0.0","400636","puelnokvxox","slow","immoral","cub","22","male","","","{""gender"":""male""}","","",""
"","67688","survey-likert","22","2.0.0","468327","puelnokvxox","slow","immoral","cub","22","male","","","{""ma_some_actions_wrong"":6,""ma_character_reflective"":6,""ma_gut_feelings"":4,""ma_think_through"":4,""ma_outcomes_matter"":4}","","[3,4,0,1,2]","moral_attitudes"
"","20915","survey-text","23","2.0.0","489247","puelnokvxox","slow","immoral","cub","22","male","","","{""Q0"":""I think it is about test people's moral standard and no""}","","",""
