"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","bystander_condition","condition","participant","age","gender","inquiry","stimulus","response","item_type","question_order","block_type"
"true","4353","fullscreen","0","null","5360","p5yvkjgf6lq","quick","moral","A18534325","21","female","","","","","",""
"","1606","html-keyboard-response","1","2.0.0","6967","p5yvkjgf6lq","quick","moral","A18534325","21","female","","Welcome to the experiment. Press any key to begin."," ","","",""
"","12438","survey-text","2","2.0.0","19409","p5yvkjgf6lq","quick","moral","A18534325","21","female","","","{""participant_id"":""A18534325""}","","",""
"","3992","html-keyboard-response","3","2.0.0","23402","p5yvkjgf6lq","quick","moral","A18534325","21","female","","
   <p>In this experiment, you will be presented with potential scenarios.</p><p>Please read through these carefully.</p>
   <p>You will answer a series of questions afterwards.</p>
   <p>Press any key to begin.</p>
 "," ","","",""
"","14905","html-button-response","4","2.0.0","38309","p5yvkjgf6lq","quick","moral","A18534325","21","female","","<p>Two people, J and N, were walking to separate cars in the parking lot of Andronico's, a local grocery store, where they each spotted a different lost wallet next to the cars.</p><p> Upon picking up the wallet and looking inside, each found several hundred dollars in cash. Each person considered whether they should return the wallet and money to the Customer Service desk at Andronico's, or pocket the money and drive away.</p>","0","","",""
"","24707","html-button-response","5","2.0.0","63018","p5yvkjgf6lq","quick","moral","A18534325","21","female",""," <p> J saw their decision as an easy one and was <i> able to decide quickly. J did not steal the money </i> and instead left the wallet with Customer Service.</p><p> In contrast, N saw their decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking in their car, <i> N too decided not to steal the money </i> and instead left the wallet with customer service. </i><br> </p>","0","moral_stimulus_1","",""
"","8546","survey-likert","6","2.0.0","71566","p5yvkjgf6lq","quick","moral","A18534325","21","female","","","{""j_manipulation_check"":6,""n_manipulation_check"":0}","","[0,1]",""
"","70189","survey-likert","7","2.0.0","141757","p5yvkjgf6lq","quick","moral","A18534325","21","female","","","{""j_standards_eval"":5,""n_standards_eval"":3}","","[0,1]","standards"
"","10979","survey-likert","8","2.0.0","152739","p5yvkjgf6lq","quick","moral","A18534325","21","female","","","{""j_principles_eval"":5,""n_principles_eval"":2}","","[0,1]","principles"
"","42107","survey-likert","9","2.0.0","194848","p5yvkjgf6lq","quick","moral","A18534325","21","female","","","{""n_deepness_eval"":5,""j_deepness_eval"":0}","","[1,0]","depth"
"","72335","survey-likert","10","2.0.0","267185","p5yvkjgf6lq","quick","moral","A18534325","21","female","","","{""j_cert_conflicted_RS"":1,""n_cert_conflicted_RS"":6,""j_cert_reservations_RS"":4,""n_cert_reservations_RS"":4}","","[0,1,2,3]","certainty"
"","55813","survey-likert","11","2.0.0","323001","p5yvkjgf6lq","quick","moral","A18534325","21","female","","","{""j_cert_quite_certain"":5,""n_cert_quite_certain"":6,""j_cert_far_from_alternative"":1,""n_cert_far_from_alternative"":4}","","[0,1,2,3]","certainty"
"","20306","survey-likert","12","2.0.0","343309","p5yvkjgf6lq","quick","moral","A18534325","21","female","","","{""j_imp_calm_contained_RS"":6,""n_imp_calm_contained_RS"":6,""j_imp_upset_acted_without_thinking"":0,""n_imp_upset_acted_without_thinking"":0}","","[0,1,2,3]","emotional_impulsivity"
"","16303","html-button-response","13","2.0.0","359613","p5yvkjgf6lq","quick","moral","A18534325","21","female","","<p> The next day, B was leaving the local grocery store when they also spotted a lost wallet next to their car.</p><p> Upon picking up the wallet and looking inside, B found several hundred dollars in cash. </p>","0","","",""
"","4299","html-button-response","14","2.0.0","363913","p5yvkjgf6lq","quick","moral","A18534325","21","female","","<p> B saw their decision as an easy one and was <i> able to decide quickly </i>. B left the wallet where they found it and drove off. </i></p>","0","byst_scenario_quick","",""
"","32677","survey-likert","15","2.0.0","396591","p5yvkjgf6lq","quick","moral","A18534325","21","female","","","{""b_standards_eval"":4}","","[0]","byst_standards"
"","11557","survey-likert","16","2.0.0","408150","p5yvkjgf6lq","quick","moral","A18534325","21","female","","","{""b_principles_eval"":3}","","[0]","byst_principles"
"","31011","survey-likert","17","2.0.0","439163","p5yvkjgf6lq","quick","moral","A18534325","21","female","","","{""b_deepness_eval"":5}","","[0]","byst_depth"
"","12006","survey-likert","18","2.0.0","451171","p5yvkjgf6lq","quick","moral","A18534325","21","female","","","{""b_imp_calm_contained_RS"":3,""b_imp_upset_acted_without_thinking"":1}","","[0,1]","byst_emotional_impulsivity"
"","83669","survey-likert","19","2.0.0","534842","p5yvkjgf6lq","quick","moral","A18534325","21","female","","","{""B_cert_conflicted_RS"":1,""B_cert_reservations_RS"":1,""B_cert_quite_certain"":4,""B_cert_far_from_alternative"":1}","","[0,1,2,3]","byst_certainty"
"","3287","survey-text","20","2.0.0","538133","p5yvkjgf6lq","quick","moral","A18534325","21","female","","","{""participant_age"":""21""}","","",""
"","6294","survey-text","21","2.0.0","544433","p5yvkjgf6lq","quick","moral","A18534325","21","female","","","{""gender"":""female""}","","",""
"","22126","survey-likert","22","2.0.0","566562","p5yvkjgf6lq","quick","moral","A18534325","21","female","","","{""ma_think_through"":6,""ma_some_actions_wrong"":4,""ma_gut_feelings"":5,""ma_character_reflective"":4,""ma_outcomes_matter"":5}","","[1,3,0,4,2]","moral_attitudes"
"","29467","survey-text","23","2.0.0","596032","p5yvkjgf6lq","quick","moral","A18534325","21","female","","","{""Q0"":""Moral judgment on character depending on decision time""}","","",""
