"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","bystander_condition","condition","participant","age","gender","inquiry","stimulus","response","item_type","question_order","block_type"
"true","4857","fullscreen","0","null","5863","pagox5o6sld","quick","immoral","sheep","22","female","","","","","",""
"","812","html-keyboard-response","1","2.0.0","6678","pagox5o6sld","quick","immoral","sheep","22","female","","Welcome to the experiment. Press any key to begin."," ","","",""
"","2279","survey-text","2","2.0.0","8961","pagox5o6sld","quick","immoral","sheep","22","female","","","{""participant_id"":""sheep""}","","",""
"","1525","html-keyboard-response","3","2.0.0","10488","pagox5o6sld","quick","immoral","sheep","22","female","","
   <p>In this experiment, you will be presented with potential scenarios.</p><p>Please read through these carefully.</p>
   <p>You will answer a series of questions afterwards.</p>
   <p>Press any key to begin.</p>
 "," ","","",""
"","11204","html-button-response","4","2.0.0","21695","pagox5o6sld","quick","immoral","sheep","22","female","","<p>Two people, J and N, were walking to separate cars in the parking lot of Andronico's, a local grocery store, where they each spotted a different lost wallet next to the cars.</p><p> Upon picking up the wallet and looking inside, each found several hundred dollars in cash. Each person considered whether they should return the wallet and money to the Customer Service desk at Andronico's, or pocket the money and drive away.</p>","0","","",""
"","10014","html-button-response","5","2.0.0","31711","pagox5o6sld","quick","immoral","sheep","22","female","","<p> N saw their decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking in their car, <i> they decided to pocket the money and drive off.</i></p><p> In contrast, J saw their decision as an easy one and was <i> able to decide quickly. J too pocketed the money and drove off. </i></p>","0","immoral_stimulus_2","",""
"","6847","survey-likert","6","2.0.0","38561","pagox5o6sld","quick","immoral","sheep","22","female","","","{""n_manipulation_check"":0,""j_manipulation_check"":6}","","[1,0]",""
"","16497","survey-likert","7","2.0.0","55061","pagox5o6sld","quick","immoral","sheep","22","female","","","{""n_standards_eval"":4,""j_standards_eval"":1}","","[1,0]","standards"
"","13848","survey-likert","8","2.0.0","68912","pagox5o6sld","quick","immoral","sheep","22","female","","","{""n_principles_eval"":4,""j_principles_eval"":1}","","[1,0]","principles"
"","15696","survey-likert","9","2.0.0","84609","pagox5o6sld","quick","immoral","sheep","22","female","","","{""j_deepness_eval"":1,""n_deepness_eval"":3}","","[0,1]","depth"
"","17134","survey-likert","10","2.0.0","101746","pagox5o6sld","quick","immoral","sheep","22","female","","","{""j_cert_conflicted_RS"":0,""n_cert_conflicted_RS"":5,""j_cert_reservations_RS"":0,""n_cert_reservations_RS"":5}","","[0,1,2,3]","certainty"
"","14946","survey-likert","11","2.0.0","116682","pagox5o6sld","quick","immoral","sheep","22","female","","","{""j_cert_quite_certain"":6,""n_cert_quite_certain"":4,""j_cert_far_from_alternative"":0,""n_cert_far_from_alternative"":4}","","[0,1,2,3]","certainty"
"","13880","survey-likert","12","2.0.0","130561","pagox5o6sld","quick","immoral","sheep","22","female","","","{""j_imp_calm_contained_RS"":6,""n_imp_calm_contained_RS"":3,""j_imp_upset_acted_without_thinking"":0,""n_imp_upset_acted_without_thinking"":3}","","[0,1,2,3]","emotional_impulsivity"
"","4346","html-button-response","13","2.0.0","134909","pagox5o6sld","quick","immoral","sheep","22","female","","<p> The next day, B was leaving the local grocery store when they also spotted a lost wallet next to their car.</p><p> Upon picking up the wallet and looking inside, B found several hundred dollars in cash. </p>","0","","",""
"","3632","html-button-response","14","2.0.0","138543","pagox5o6sld","quick","immoral","sheep","22","female","","<p> B saw their decision as an easy one and was <i> able to decide quickly </i>. B left the wallet where they found it and drove off. </i></p>","0","byst_scenario_quick","",""
"","5180","survey-likert","15","2.0.0","143725","pagox5o6sld","quick","immoral","sheep","22","female","","","{""b_principles_eval"":6}","","[0]","byst_principles"
"","2481","survey-likert","16","2.0.0","146208","pagox5o6sld","quick","immoral","sheep","22","female","","","{""b_standards_eval"":6}","","[0]","byst_standards"
"","1764","survey-likert","17","2.0.0","147975","pagox5o6sld","quick","immoral","sheep","22","female","","","{""b_deepness_eval"":6}","","[0]","byst_depth"
"","5297","survey-likert","18","2.0.0","153275","pagox5o6sld","quick","immoral","sheep","22","female","","","{""b_imp_calm_contained_RS"":6,""b_imp_upset_acted_without_thinking"":5}","","[0,1]","byst_emotional_impulsivity"
"","18931","survey-likert","19","2.0.0","172208","pagox5o6sld","quick","immoral","sheep","22","female","","","{""B_cert_reservations_RS"":0,""B_cert_conflicted_RS"":6,""B_cert_far_from_alternative"":0,""B_cert_quite_certain"":6}","","[1,0,3,2]","byst_certainty"
"","2029","survey-text","20","2.0.0","174240","pagox5o6sld","quick","immoral","sheep","22","female","","","{""participant_age"":""22""}","","",""
"","3049","survey-text","21","2.0.0","177291","pagox5o6sld","quick","immoral","sheep","22","female","","","{""gender"":""female""}","","",""
"","25230","survey-likert","22","2.0.0","202524","pagox5o6sld","quick","immoral","sheep","22","female","","","{""ma_gut_feelings"":5,""ma_outcomes_matter"":4,""ma_character_reflective"":4,""ma_think_through"":5,""ma_some_actions_wrong"":6}","","[0,2,4,1,3]","moral_attitudes"
"","7465","survey-text","23","2.0.0","209991","pagox5o6sld","quick","immoral","sheep","22","female","","","{""Q0"":""moral judgements""}","","",""
