"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","bystander_condition","condition","participant","age","gender","inquiry","stimulus","response","item_type","question_order","block_type"
"true","12466","fullscreen","0","null","13472","pxqnqwc8ra7","slow","moral","gecko","22","female","","","","","",""
"","3523","html-keyboard-response","1","2.0.0","16997","pxqnqwc8ra7","slow","moral","gecko","22","female","","Welcome to the experiment. Press any key to begin."," ","","",""
"","3174","survey-text","2","2.0.0","20177","pxqnqwc8ra7","slow","moral","gecko","22","female","","","{""participant_id"":""gecko""}","","",""
"","4657","html-keyboard-response","3","2.0.0","24835","pxqnqwc8ra7","slow","moral","gecko","22","female","","
   <p>In this experiment, you will be presented with potential scenarios.</p><p>Please read through these carefully.</p>
   <p>You will answer a series of questions afterwards.</p>
   <p>Press any key to begin.</p>
 "," ","","",""
"","22492","html-button-response","4","2.0.0","47330","pxqnqwc8ra7","slow","moral","gecko","22","female","","<p>Two people, J and N, were walking to separate cars in the parking lot of Andronico's, a local grocery store, where they each spotted a different lost wallet next to the cars.</p><p> Upon picking up the wallet and looking inside, each found several hundred dollars in cash. Each person considered whether they should return the wallet and money to the Customer Service desk at Andronico's, or pocket the money and drive away.</p>","0","","",""
"","18527","html-button-response","5","2.0.0","65859","pxqnqwc8ra7","slow","moral","gecko","22","female","","<p> N saw their decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking in their car, <i> N decided not to steal the money </i> and instead left the wallet with customer service. </i><br> </p><p>In contrast, J saw their decision as an easy one and was <i> able to decide quickly. J too did not steal the money </i> and instead left the wallet with Customer Service.</p>","0","moral_stimulus_2","",""
"","20163","survey-likert","6","2.0.0","86026","pxqnqwc8ra7","slow","moral","gecko","22","female","","","{""n_manipulation_check"":0,""j_manipulation_check"":5}","","[1,0]",""
"","63455","survey-likert","7","2.0.0","149484","pxqnqwc8ra7","slow","moral","gecko","22","female","","","{""j_standards_eval"":5,""n_standards_eval"":4}","","[0,1]","standards"
"","24290","survey-likert","8","2.0.0","173776","pxqnqwc8ra7","slow","moral","gecko","22","female","","","{""n_principles_eval"":5,""j_principles_eval"":5}","","[1,0]","principles"
"","56969","survey-likert","9","2.0.0","230747","pxqnqwc8ra7","slow","moral","gecko","22","female","","","{""n_deepness_eval"":4,""j_deepness_eval"":5}","","[1,0]","depth"
"","94394","survey-likert","10","2.0.0","325143","pxqnqwc8ra7","slow","moral","gecko","22","female","","","{""j_cert_conflicted_RS"":1,""n_cert_conflicted_RS"":6,""j_cert_reservations_RS"":0,""n_cert_reservations_RS"":5}","","[0,1,2,3]","certainty"
"","89109","survey-likert","11","2.0.0","414255","pxqnqwc8ra7","slow","moral","gecko","22","female","","","{""j_cert_quite_certain"":6,""n_cert_quite_certain"":1,""j_cert_far_from_alternative"":1,""n_cert_far_from_alternative"":4}","","[0,1,2,3]","certainty"
"","58124","survey-likert","12","2.0.0","472383","pxqnqwc8ra7","slow","moral","gecko","22","female","","","{""j_imp_calm_contained_RS"":5,""n_imp_calm_contained_RS"":3,""j_imp_upset_acted_without_thinking"":0,""n_imp_upset_acted_without_thinking"":0}","","[0,1,2,3]","emotional_impulsivity"
"","9913","html-button-response","13","2.0.0","482299","pxqnqwc8ra7","slow","moral","gecko","22","female","","<p> The next day, B was leaving the local grocery store when they also spotted a lost wallet next to their car.</p><p> Upon picking up the wallet and looking inside, B found several hundred dollars in cash. </p>","0","","",""
"","6915","html-button-response","14","2.0.0","489216","pxqnqwc8ra7","slow","moral","gecko","22","female","","<p> B saw their decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking, B decided to leave the wallet where they found it and drove off. </p>","0","byst_scenario_slow","",""
"","18410","survey-likert","15","2.0.0","507628","pxqnqwc8ra7","slow","moral","gecko","22","female","","","{""b_standards_eval"":4}","","[0]","byst_standards"
"","10312","survey-likert","16","2.0.0","517942","pxqnqwc8ra7","slow","moral","gecko","22","female","","","{""b_principles_eval"":5}","","[0]","byst_principles"
"","16546","survey-likert","17","2.0.0","534490","pxqnqwc8ra7","slow","moral","gecko","22","female","","","{""b_deepness_eval"":4}","","[0]","byst_depth"
"","51176","survey-likert","18","2.0.0","585669","pxqnqwc8ra7","slow","moral","gecko","22","female","","","{""B_cert_reservations_RS"":5,""B_cert_quite_certain"":1,""B_cert_conflicted_RS"":6,""B_cert_far_from_alternative"":5}","","[1,2,0,3]","byst_certainty"
"","45759","survey-likert","19","2.0.0","631431","pxqnqwc8ra7","slow","moral","gecko","22","female","","","{""b_imp_calm_contained_RS"":4,""b_imp_upset_acted_without_thinking"":2}","","[0,1]","byst_emotional_impulsivity"
"","2632","survey-text","20","2.0.0","634066","pxqnqwc8ra7","slow","moral","gecko","22","female","","","{""participant_age"":""22""}","","",""
"","4070","survey-text","21","2.0.0","638143","pxqnqwc8ra7","slow","moral","gecko","22","female","","","{""gender"":""female""}","","",""
"","66825","survey-likert","22","2.0.0","704973","pxqnqwc8ra7","slow","moral","gecko","22","female","","","{""ma_character_reflective"":5,""ma_think_through"":5,""ma_some_actions_wrong"":2,""ma_gut_feelings"":4,""ma_outcomes_matter"":4}","","[4,1,3,0,2]","moral_attitudes"
"","72069","survey-text","23","2.0.0","777047","pxqnqwc8ra7","slow","moral","gecko","22","female","","","{""Q0"":""I think the experiment wanted to test how participants think about morality and how they weigh the outcomes of a moral decisions. I didn't have any technical difficulties.""}","","",""
