"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","bystander_condition","condition","participant","age","gender","inquiry","stimulus","response","item_type","question_order","block_type"
"true","4968","fullscreen","0","null","5983","pqfhqgxwzjz","slow","moral","calf","22","female","","","","","",""
"","2725","html-keyboard-response","1","2.0.0","8711","pqfhqgxwzjz","slow","moral","calf","22","female","","Welcome to the experiment. Press any key to begin.","Enter","","",""
"","2319","survey-text","2","2.0.0","11033","pqfhqgxwzjz","slow","moral","calf","22","female","","","{""participant_id"":""calf""}","","",""
"","2229","html-keyboard-response","3","2.0.0","13263","pqfhqgxwzjz","slow","moral","calf","22","female","","
   <p>In this experiment, you will be presented with potential scenarios.</p><p>Please read through these carefully.</p>
   <p>You will answer a series of questions afterwards.</p>
   <p>Press any key to begin.</p>
 ","Enter","","",""
"","15059","html-button-response","4","2.0.0","28323","pqfhqgxwzjz","slow","moral","calf","22","female","","<p>Two people, J and N, were walking to separate cars in the parking lot of Andronico's, a local grocery store, where they each spotted a different lost wallet next to the cars.</p><p> Upon picking up the wallet and looking inside, each found several hundred dollars in cash. Each person considered whether they should return the wallet and money to the Customer Service desk at Andronico's, or pocket the money and drive away.</p>","0","","",""
"","5982","html-button-response","5","2.0.0","34306","pqfhqgxwzjz","slow","moral","calf","22","female","","<p> N saw their decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking in their car, <i> N decided not to steal the money </i> and instead left the wallet with customer service. </i><br> </p><p>In contrast, J saw their decision as an easy one and was <i> able to decide quickly. J too did not steal the money </i> and instead left the wallet with Customer Service.</p>","0","moral_stimulus_2","",""
"","10041","survey-likert","6","2.0.0","44349","pqfhqgxwzjz","slow","moral","calf","22","female","","","{""n_manipulation_check"":6,""j_manipulation_check"":0}","","[1,0]",""
"","36186","survey-likert","7","2.0.0","80536","pqfhqgxwzjz","slow","moral","calf","22","female","","","{""j_standards_eval"":6,""n_standards_eval"":3}","","[0,1]","standards"
"","67620","survey-likert","8","2.0.0","148159","pqfhqgxwzjz","slow","moral","calf","22","female","","","{""j_principles_eval"":6,""n_principles_eval"":4}","","[0,1]","principles"
"","26940","survey-likert","9","2.0.0","175101","pqfhqgxwzjz","slow","moral","calf","22","female","","","{""j_deepness_eval"":6,""n_deepness_eval"":0}","","[0,1]","depth"
"","41352","survey-likert","10","2.0.0","216455","pqfhqgxwzjz","slow","moral","calf","22","female","","","{""j_cert_conflicted_RS"":0,""n_cert_conflicted_RS"":6,""j_cert_reservations_RS"":0,""n_cert_reservations_RS"":6}","","[0,1,2,3]","certainty"
"","59032","survey-likert","11","2.0.0","275489","pqfhqgxwzjz","slow","moral","calf","22","female","","","{""j_cert_quite_certain"":6,""n_cert_quite_certain"":0,""j_cert_far_from_alternative"":0,""n_cert_far_from_alternative"":6}","","[0,1,2,3]","certainty"
"","34240","survey-likert","12","2.0.0","309731","pqfhqgxwzjz","slow","moral","calf","22","female","","","{""j_imp_calm_contained_RS"":6,""n_imp_calm_contained_RS"":0,""j_imp_upset_acted_without_thinking"":0,""n_imp_upset_acted_without_thinking"":0}","","[0,1,2,3]","emotional_impulsivity"
"","5195","html-button-response","13","2.0.0","314927","pqfhqgxwzjz","slow","moral","calf","22","female","","<p> The next day, B was leaving the local grocery store when they also spotted a lost wallet next to their car.</p><p> Upon picking up the wallet and looking inside, B found several hundred dollars in cash. </p>","0","","",""
"","6653","html-button-response","14","2.0.0","321581","pqfhqgxwzjz","slow","moral","calf","22","female","","<p> B saw their decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking, B decided to leave the wallet where they found it and drove off. </p>","0","byst_scenario_slow","",""
"","7383","survey-likert","15","2.0.0","328965","pqfhqgxwzjz","slow","moral","calf","22","female","","","{""b_standards_eval"":0}","","[0]","byst_standards"
"","8489","survey-likert","16","2.0.0","337455","pqfhqgxwzjz","slow","moral","calf","22","female","","","{""b_principles_eval"":0}","","[0]","byst_principles"
"","19485","survey-likert","17","2.0.0","356941","pqfhqgxwzjz","slow","moral","calf","22","female","","","{""b_deepness_eval"":0}","","[0]","byst_depth"
"","10429","survey-likert","18","2.0.0","367371","pqfhqgxwzjz","slow","moral","calf","22","female","","","{""b_imp_upset_acted_without_thinking"":0,""b_imp_calm_contained_RS"":1}","","[1,0]","byst_emotional_impulsivity"
"","16418","survey-likert","19","2.0.0","383791","pqfhqgxwzjz","slow","moral","calf","22","female","","","{""B_cert_reservations_RS"":6,""B_cert_conflicted_RS"":6,""B_cert_far_from_alternative"":0,""B_cert_quite_certain"":1}","","[1,0,3,2]","byst_certainty"
"","2618","survey-text","20","2.0.0","386410","pqfhqgxwzjz","slow","moral","calf","22","female","","","{""participant_age"":""22""}","","",""
"","3388","survey-text","21","2.0.0","389800","pqfhqgxwzjz","slow","moral","calf","22","female","","","{""gender"":""female""}","","",""
"","23846","survey-likert","22","2.0.0","413648","pqfhqgxwzjz","slow","moral","calf","22","female","","","{""ma_think_through"":6,""ma_outcomes_matter"":3,""ma_gut_feelings"":4,""ma_character_reflective"":5,""ma_some_actions_wrong"":4}","","[1,2,0,4,3]","moral_attitudes"
"","19721","survey-text","23","2.0.0","433371","pqfhqgxwzjz","slow","moral","calf","22","female","","","{""Q0"":""wording was kinda confusing for a bit""}","","",""
