"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","bystander_condition","condition","participant","age","gender","inquiry","stimulus","response","item_type","question_order","block_type"
"true","2197","fullscreen","0","null","3232","px6e5h0dt0m","slow","immoral","jaguar","20","female","","","","","",""
"","1661","html-keyboard-response","1","2.0.0","4896","px6e5h0dt0m","slow","immoral","jaguar","20","female","","Welcome to the experiment. Press any key to begin."," ","","",""
"","4453","survey-text","2","2.0.0","9374","px6e5h0dt0m","slow","immoral","jaguar","20","female","","","{""participant_id"":""jaguar""}","","",""
"","3939","html-keyboard-response","3","2.0.0","13315","px6e5h0dt0m","slow","immoral","jaguar","20","female","","
   <p>In this experiment, you will be presented with potential scenarios.</p><p>Please read through these carefully.</p>
   <p>You will answer a series of questions afterwards.</p>
   <p>Press any key to begin.</p>
 "," ","","",""
"","26567","html-button-response","4","2.0.0","39885","px6e5h0dt0m","slow","immoral","jaguar","20","female","","<p>Two people, J and N, were walking to separate cars in the parking lot of Andronico's, a local grocery store, where they each spotted a different lost wallet next to the cars.</p><p> Upon picking up the wallet and looking inside, each found several hundred dollars in cash. Each person considered whether they should return the wallet and money to the Customer Service desk at Andronico's, or pocket the money and drive away.</p>","0","","",""
"","10955","html-button-response","5","2.0.0","50842","px6e5h0dt0m","slow","immoral","jaguar","20","female",""," <p> J saw their decision as an easy one and was <i> able to decide quickly. J pocketed the money and drove off. </i></p><p> In contrast, N saw their decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking in their car, <i> N too decided to pocket the money and drive off.</i></p>","0","immoral_stimulus_1","",""
"","4616","survey-likert","6","2.0.0","55463","px6e5h0dt0m","slow","immoral","jaguar","20","female","","","{""j_manipulation_check"":6,""n_manipulation_check"":0}","","[0,1]",""
"","15109","survey-likert","7","2.0.0","70580","px6e5h0dt0m","slow","immoral","jaguar","20","female","","","{""j_principles_eval"":0,""n_principles_eval"":2}","","[0,1]","principles"
"","33522","survey-likert","8","2.0.0","104105","px6e5h0dt0m","slow","immoral","jaguar","20","female","","","{""n_standards_eval"":1,""j_standards_eval"":0}","","[1,0]","standards"
"","16682","survey-likert","9","2.0.0","120794","px6e5h0dt0m","slow","immoral","jaguar","20","female","","","{""j_deepness_eval"":1,""n_deepness_eval"":2}","","[0,1]","depth"
"","10634","survey-likert","10","2.0.0","131431","px6e5h0dt0m","slow","immoral","jaguar","20","female","","","{""j_cert_conflicted_RS"":0,""n_cert_conflicted_RS"":4,""j_cert_reservations_RS"":1,""n_cert_reservations_RS"":4}","","[0,1,2,3]","certainty"
"","24454","survey-likert","11","2.0.0","155889","px6e5h0dt0m","slow","immoral","jaguar","20","female","","","{""j_cert_quite_certain"":5,""n_cert_quite_certain"":2,""j_cert_far_from_alternative"":5,""n_cert_far_from_alternative"":2}","","[0,1,2,3]","certainty"
"","19330","survey-likert","12","2.0.0","175221","px6e5h0dt0m","slow","immoral","jaguar","20","female","","","{""j_imp_calm_contained_RS"":3,""n_imp_calm_contained_RS"":2,""j_imp_upset_acted_without_thinking"":1,""n_imp_upset_acted_without_thinking"":2}","","[0,1,2,3]","emotional_impulsivity"
"","12276","html-button-response","13","2.0.0","187504","px6e5h0dt0m","slow","immoral","jaguar","20","female","","<p> The next day, B was leaving the local grocery store when they also spotted a lost wallet next to their car.</p><p> Upon picking up the wallet and looking inside, B found several hundred dollars in cash. </p>","0","","",""
"","8827","html-button-response","14","2.0.0","196333","px6e5h0dt0m","slow","immoral","jaguar","20","female","","<p> B saw their decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking, B decided to leave the wallet where they found it and drove off. </p>","0","byst_scenario_slow","",""
"","9542","survey-likert","15","2.0.0","205877","px6e5h0dt0m","slow","immoral","jaguar","20","female","","","{""b_principles_eval"":5}","","[0]","byst_principles"
"","11667","survey-likert","16","2.0.0","217548","px6e5h0dt0m","slow","immoral","jaguar","20","female","","","{""b_standards_eval"":4}","","[0]","byst_standards"
"","3616","survey-likert","17","2.0.0","221167","px6e5h0dt0m","slow","immoral","jaguar","20","female","","","{""b_deepness_eval"":3}","","[0]","byst_depth"
"","11437","survey-likert","18","2.0.0","232608","px6e5h0dt0m","slow","immoral","jaguar","20","female","","","{""B_cert_reservations_RS"":4,""B_cert_quite_certain"":2,""B_cert_far_from_alternative"":1,""B_cert_conflicted_RS"":5}","","[1,2,3,0]","byst_certainty"
"","4568","survey-likert","19","2.0.0","237178","px6e5h0dt0m","slow","immoral","jaguar","20","female","","","{""b_imp_upset_acted_without_thinking"":2,""b_imp_calm_contained_RS"":3}","","[1,0]","byst_emotional_impulsivity"
"","2854","survey-text","20","2.0.0","240041","px6e5h0dt0m","slow","immoral","jaguar","20","female","","","{""participant_age"":""20""}","","",""
"","3592","survey-text","21","2.0.0","243638","px6e5h0dt0m","slow","immoral","jaguar","20","female","","","{""gender"":""female""}","","",""
"","24266","survey-likert","22","2.0.0","267907","px6e5h0dt0m","slow","immoral","jaguar","20","female","","","{""ma_outcomes_matter"":5,""ma_gut_feelings"":4,""ma_some_actions_wrong"":6,""ma_think_through"":4,""ma_character_reflective"":5}","","[2,0,3,1,4]","moral_attitudes"
"","21485","survey-text","23","2.0.0","289397","px6e5h0dt0m","slow","immoral","jaguar","20","female","","","{""Q0"":""How the time it takes for someone to consider an action affects how their morals are percieved, even if the outcome is the same.""}","","",""
