"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","bystander_condition","condition","participant","age","gender","inquiry","stimulus","response","item_type","question_order","block_type"
"true","7869","fullscreen","0","null","8886","pg7g0w6hkdm","quick","moral","horse","21","female","","","","","",""
"","1041","html-keyboard-response","1","2.0.0","9931","pg7g0w6hkdm","quick","moral","horse","21","female","","Welcome to the experiment. Press any key to begin.","d","","",""
"","2222","survey-text","2","2.0.0","12166","pg7g0w6hkdm","quick","moral","horse","21","female","","","{""participant_id"":""horse""}","","",""
"","2963","html-keyboard-response","3","2.0.0","15132","pg7g0w6hkdm","quick","moral","horse","21","female","","
   <p>In this experiment, you will be presented with potential scenarios.</p><p>Please read through these carefully.</p>
   <p>You will answer a series of questions afterwards.</p>
   <p>Press any key to begin.</p>
 ","j","","",""
"","12618","html-button-response","4","2.0.0","27751","pg7g0w6hkdm","quick","moral","horse","21","female","","<p>Two people, J and N, were walking to separate cars in the parking lot of Andronico's, a local grocery store, where they each spotted a different lost wallet next to the cars.</p><p> Upon picking up the wallet and looking inside, each found several hundred dollars in cash. Each person considered whether they should return the wallet and money to the Customer Service desk at Andronico's, or pocket the money and drive away.</p>","0","","",""
"","9588","html-button-response","5","2.0.0","37342","pg7g0w6hkdm","quick","moral","horse","21","female","","<p> N saw their decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking in their car, <i> N decided not to steal the money </i> and instead left the wallet with customer service. </i><br> </p><p>In contrast, J saw their decision as an easy one and was <i> able to decide quickly. J too did not steal the money </i> and instead left the wallet with Customer Service.</p>","0","moral_stimulus_2","",""
"","13589","survey-likert","6","2.0.0","50934","pg7g0w6hkdm","quick","moral","horse","21","female","","","{""j_manipulation_check"":2,""n_manipulation_check"":6}","","[0,1]",""
"","9995","survey-likert","7","2.0.0","60932","pg7g0w6hkdm","quick","moral","horse","21","female","","","{""j_principles_eval"":5,""n_principles_eval"":6}","","[0,1]","principles"
"","8390","survey-likert","8","2.0.0","69324","pg7g0w6hkdm","quick","moral","horse","21","female","","","{""j_standards_eval"":6,""n_standards_eval"":6}","","[0,1]","standards"
"","8302","survey-likert","9","2.0.0","77629","pg7g0w6hkdm","quick","moral","horse","21","female","","","{""j_deepness_eval"":5,""n_deepness_eval"":6}","","[0,1]","depth"
"","19069","survey-likert","10","2.0.0","96701","pg7g0w6hkdm","quick","moral","horse","21","female","","","{""j_cert_conflicted_RS"":0,""n_cert_conflicted_RS"":4,""j_cert_reservations_RS"":0,""n_cert_reservations_RS"":2}","","[0,1,2,3]","certainty"
"","28060","survey-likert","11","2.0.0","124765","pg7g0w6hkdm","quick","moral","horse","21","female","","","{""j_cert_quite_certain"":5,""n_cert_quite_certain"":4,""j_cert_far_from_alternative"":6,""n_cert_far_from_alternative"":2}","","[0,1,2,3]","certainty"
"","22266","survey-likert","12","2.0.0","147034","pg7g0w6hkdm","quick","moral","horse","21","female","","","{""j_imp_calm_contained_RS"":5,""n_imp_calm_contained_RS"":5,""j_imp_upset_acted_without_thinking"":0,""n_imp_upset_acted_without_thinking"":0}","","[0,1,2,3]","emotional_impulsivity"
"","4323","html-button-response","13","2.0.0","151359","pg7g0w6hkdm","quick","moral","horse","21","female","","<p> The next day, B was leaving the local grocery store when they also spotted a lost wallet next to their car.</p><p> Upon picking up the wallet and looking inside, B found several hundred dollars in cash. </p>","0","","",""
"","3535","html-button-response","14","2.0.0","154897","pg7g0w6hkdm","quick","moral","horse","21","female","","<p> B saw their decision as an easy one and was <i> able to decide quickly </i>. B left the wallet where they found it and drove off. </i></p>","0","byst_scenario_quick","",""
"","4775","survey-likert","15","2.0.0","159674","pg7g0w6hkdm","quick","moral","horse","21","female","","","{""b_principles_eval"":4}","","[0]","byst_principles"
"","2781","survey-likert","16","2.0.0","162457","pg7g0w6hkdm","quick","moral","horse","21","female","","","{""b_standards_eval"":4}","","[0]","byst_standards"
"","5850","survey-likert","17","2.0.0","168309","pg7g0w6hkdm","quick","moral","horse","21","female","","","{""b_deepness_eval"":5}","","[0]","byst_depth"
"","5486","survey-likert","18","2.0.0","173798","pg7g0w6hkdm","quick","moral","horse","21","female","","","{""b_imp_calm_contained_RS"":5,""b_imp_upset_acted_without_thinking"":0}","","[0,1]","byst_emotional_impulsivity"
"","11493","survey-likert","19","2.0.0","185294","pg7g0w6hkdm","quick","moral","horse","21","female","","","{""B_cert_reservations_RS"":1,""B_cert_far_from_alternative"":1,""B_cert_conflicted_RS"":1,""B_cert_quite_certain"":5}","","[1,3,0,2]","byst_certainty"
"","3113","survey-text","20","2.0.0","188411","pg7g0w6hkdm","quick","moral","horse","21","female","","","{""participant_age"":""21""}","","",""
"","2285","survey-text","21","2.0.0","190698","pg7g0w6hkdm","quick","moral","horse","21","female","","","{""gender"":""female""}","","",""
"","22473","survey-likert","22","2.0.0","213176","pg7g0w6hkdm","quick","moral","horse","21","female","","","{""ma_gut_feelings"":5,""ma_some_actions_wrong"":5,""ma_think_through"":5,""ma_outcomes_matter"":2,""ma_character_reflective"":5}","","[0,3,1,2,4]","moral_attitudes"
"","15404","survey-text","23","2.0.0","228597","pg7g0w6hkdm","quick","moral","horse","21","female","","","{""Q0"":""if the speed of making decisions reflect moral character""}","","",""
