"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","bystander_condition","condition","participant","age","gender","inquiry","stimulus","response","item_type","question_order","block_type"
"true","1408","fullscreen","0","null","2415","pnarkqxgj89","quick","moral","frog","22","female","","","","","",""
"","843","html-keyboard-response","1","2.0.0","3260","pnarkqxgj89","quick","moral","frog","22","female","","Welcome to the experiment. Press any key to begin."," ","","",""
"","2150","survey-text","2","2.0.0","5416","pnarkqxgj89","quick","moral","frog","22","female","","","{""participant_id"":""frog""}","","",""
"","5520","html-keyboard-response","3","2.0.0","10937","pnarkqxgj89","quick","moral","frog","22","female","","
   <p>In this experiment, you will be presented with potential scenarios.</p><p>Please read through these carefully.</p>
   <p>You will answer a series of questions afterwards.</p>
   <p>Press any key to begin.</p>
 "," ","","",""
"","17438","html-button-response","4","2.0.0","28379","pnarkqxgj89","quick","moral","frog","22","female","","<p>Two people, J and N, were walking to separate cars in the parking lot of Andronico's, a local grocery store, where they each spotted a different lost wallet next to the cars.</p><p> Upon picking up the wallet and looking inside, each found several hundred dollars in cash. Each person considered whether they should return the wallet and money to the Customer Service desk at Andronico's, or pocket the money and drive away.</p>","0","","",""
"","12030","html-button-response","5","2.0.0","40412","pnarkqxgj89","quick","moral","frog","22","female",""," <p> J saw their decision as an easy one and was <i> able to decide quickly. J did not steal the money </i> and instead left the wallet with Customer Service.</p><p> In contrast, N saw their decision as difficult and <i> was only able to decide after long and careful deliberation</i>. After several minutes of thinking in their car, <i> N too decided not to steal the money </i> and instead left the wallet with customer service. </i><br> </p>","0","moral_stimulus_1","",""
"","7849","survey-likert","6","2.0.0","48263","pnarkqxgj89","quick","moral","frog","22","female","","","{""n_manipulation_check"":2,""j_manipulation_check"":5}","","[1,0]",""
"","14113","survey-likert","7","2.0.0","62380","pnarkqxgj89","quick","moral","frog","22","female","","","{""j_standards_eval"":5,""n_standards_eval"":4}","","[0,1]","standards"
"","12014","survey-likert","8","2.0.0","74397","pnarkqxgj89","quick","moral","frog","22","female","","","{""j_principles_eval"":6,""n_principles_eval"":3}","","[0,1]","principles"
"","18713","survey-likert","9","2.0.0","93112","pnarkqxgj89","quick","moral","frog","22","female","","","{""j_deepness_eval"":2,""n_deepness_eval"":4}","","[0,1]","depth"
"","15898","survey-likert","10","2.0.0","109013","pnarkqxgj89","quick","moral","frog","22","female","","","{""j_cert_conflicted_RS"":1,""n_cert_conflicted_RS"":4,""j_cert_reservations_RS"":1,""n_cert_reservations_RS"":4}","","[0,1,2,3]","certainty"
"","16565","survey-likert","11","2.0.0","125581","pnarkqxgj89","quick","moral","frog","22","female","","","{""j_cert_quite_certain"":5,""n_cert_quite_certain"":2,""j_cert_far_from_alternative"":1,""n_cert_far_from_alternative"":4}","","[0,1,2,3]","certainty"
"","18965","survey-likert","12","2.0.0","144549","pnarkqxgj89","quick","moral","frog","22","female","","","{""j_imp_calm_contained_RS"":4,""n_imp_calm_contained_RS"":2,""j_imp_upset_acted_without_thinking"":1,""n_imp_upset_acted_without_thinking"":2}","","[0,1,2,3]","emotional_impulsivity"
"","5413","html-button-response","13","2.0.0","149965","pnarkqxgj89","quick","moral","frog","22","female","","<p> The next day, B was leaving the local grocery store when they also spotted a lost wallet next to their car.</p><p> Upon picking up the wallet and looking inside, B found several hundred dollars in cash. </p>","0","","",""
"","5114","html-button-response","14","2.0.0","155080","pnarkqxgj89","quick","moral","frog","22","female","","<p> B saw their decision as an easy one and was <i> able to decide quickly </i>. B left the wallet where they found it and drove off. </i></p>","0","byst_scenario_quick","",""
"","6099","survey-likert","15","2.0.0","161181","pnarkqxgj89","quick","moral","frog","22","female","","","{""b_principles_eval"":3}","","[0]","byst_principles"
"","6580","survey-likert","16","2.0.0","167763","pnarkqxgj89","quick","moral","frog","22","female","","","{""b_standards_eval"":3}","","[0]","byst_standards"
"","6882","survey-likert","17","2.0.0","174648","pnarkqxgj89","quick","moral","frog","22","female","","","{""b_deepness_eval"":2}","","[0]","byst_depth"
"","28814","survey-likert","18","2.0.0","203465","pnarkqxgj89","quick","moral","frog","22","female","","","{""B_cert_far_from_alternative"":4,""B_cert_conflicted_RS"":3,""B_cert_quite_certain"":3,""B_cert_reservations_RS"":4}","","[3,0,2,1]","byst_certainty"
"","10582","survey-likert","19","2.0.0","214050","pnarkqxgj89","quick","moral","frog","22","female","","","{""b_imp_calm_contained_RS"":3,""b_imp_upset_acted_without_thinking"":2}","","[0,1]","byst_emotional_impulsivity"
"","2211","survey-text","20","2.0.0","216265","pnarkqxgj89","quick","moral","frog","22","female","","","{""participant_age"":""22""}","","",""
"","3382","survey-text","21","2.0.0","219649","pnarkqxgj89","quick","moral","frog","22","female","","","{""gender"":""female""}","","",""
"","20897","survey-likert","22","2.0.0","240551","pnarkqxgj89","quick","moral","frog","22","female","","","{""ma_character_reflective"":4,""ma_gut_feelings"":2,""ma_some_actions_wrong"":1,""ma_think_through"":4,""ma_outcomes_matter"":2}","","[4,0,3,1,2]","moral_attitudes"
"","7545","survey-text","23","2.0.0","248099","pnarkqxgj89","quick","moral","frog","22","female","","","{""Q0"":""Pretty good""}","","",""
